Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Zimbabwe,Male,Lower middle income,"3,806 (2,408<e2><80><93>5,320)",0.127 (0.080<e2><80><93>0.177),0.063 (0.040<e2><80><93>0.089),0.1339 (0.0847<e2><80><93>0.1872)
Zimbabwe,Female,Lower middle income,"3,578 (2,309<e2><80><93>5,085)",0.119 (0.077<e2><80><93>0.169),0.058 (0.037<e2><80><93>0.082),0.1259 (0.0812<e2><80><93>0.1789)
Guatemala,Male,Upper middle income,"4,348 (3,621<e2><80><93>5,195)",0.344 (0.286<e2><80><93>0.411),0.159 (0.133<e2><80><93>0.190),0.1379 (0.1149<e2><80><93>0.1648)
Guatemala,Female,Upper middle income,"5,637 (4,604<e2><80><93>6,851)",0.446 (0.364<e2><80><93>0.541),0.198 (0.162<e2><80><93>0.241),0.1788 (0.1461<e2><80><93>0.2173)
Maldives,Male,Upper middle income,140 (97<e2><80><93>185),0.020 (0.014<e2><80><93>0.026),0.008 (0.006<e2><80><93>0.011),0.1534 (0.1062<e2><80><93>0.2017)
Maldives,Female,Upper middle income,115 (85<e2><80><93>153),0.016 (0.012<e2><80><93>0.022),0.007 (0.005<e2><80><93>0.009),0.1262 (0.0931<e2><80><93>0.1669)
Micronesia (Federated States of),Male,Lower middle income,59 (40<e2><80><93>79),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.3003 (0.2049<e2><80><93>0.4044)
Micronesia (Federated States of),Female,Lower middle income,21 (15<e2><80><93>29),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.1085 (0.0770<e2><80><93>0.1493)
Mexico,Male,Upper middle income,"72,648 (64,503<e2><80><93>81,692)",10.408 (9.241<e2><80><93>11.703),4.659 (4.137<e2><80><93>5.239),0.3219 (0.2859<e2><80><93>0.3620)
Mexico,Female,Upper middle income,"77,172 (69,203<e2><80><93>85,266)",11.056 (9.914<e2><80><93>12.215),4.739 (4.250<e2><80><93>5.237),0.3420 (0.3067<e2><80><93>0.3779)
Montenegro,Male,Upper middle income,"1,409 (1,042<e2><80><93>1,819)",0.252 (0.186<e2><80><93>0.325),0.108 (0.080<e2><80><93>0.139),1.2997 (0.9606<e2><80><93>1.6776)
Montenegro,Female,Upper middle income,"942 (671<e2><80><93>1,238)",0.168 (0.120<e2><80><93>0.221),0.069 (0.049<e2><80><93>0.091),0.8683 (0.6185<e2><80><93>1.1415)
Mali,Male,Low income,"7,648 (5,074<e2><80><93>10,675)",0.140 (0.093<e2><80><93>0.195),0.072 (0.048<e2><80><93>0.100),0.1850 (0.1227<e2><80><93>0.2582)
Mali,Female,Low income,"4,350 (2,964<e2><80><93>6,007)",0.079 (0.054<e2><80><93>0.110),0.041 (0.028<e2><80><93>0.056),0.1052 (0.0717<e2><80><93>0.1453)
Angola,Male,Lower middle income,"5,655 (3,801<e2><80><93>8,013)",0.317 (0.213<e2><80><93>0.449),0.167 (0.112<e2><80><93>0.237),0.0885 (0.0595<e2><80><93>0.1254)
Angola,Female,Lower middle income,"5,088 (3,345<e2><80><93>7,378)",0.285 (0.188<e2><80><93>0.414),0.140 (0.092<e2><80><93>0.203),0.0796 (0.0523<e2><80><93>0.1154)
Benin,Male,Lower middle income,"2,401 (1,562<e2><80><93>3,379)",0.057 (0.037<e2><80><93>0.080),0.028 (0.018<e2><80><93>0.040),0.0978 (0.0636<e2><80><93>0.1377)
Benin,Female,Lower middle income,"1,963 (1,340<e2><80><93>2,788)",0.047 (0.032<e2><80><93>0.066),0.022 (0.015<e2><80><93>0.032),0.0800 (0.0546<e2><80><93>0.1136)
Djibouti,Male,Lower middle income,330 (215<e2><80><93>489),0.014 (0.009<e2><80><93>0.020),0.006 (0.004<e2><80><93>0.010),0.1647 (0.1074<e2><80><93>0.2441)
Djibouti,Female,Lower middle income,237 (143<e2><80><93>363),0.010 (0.006<e2><80><93>0.015),0.005 (0.003<e2><80><93>0.007),0.1180 (0.0713<e2><80><93>0.1813)
Congo,Male,Lower middle income,"1,048 (693<e2><80><93>1,463)",0.041 (0.027<e2><80><93>0.058),0.021 (0.014<e2><80><93>0.029),0.0975 (0.0644<e2><80><93>0.1361)
Congo,Female,Lower middle income,"1,206 (816<e2><80><93>1,747)",0.047 (0.032<e2><80><93>0.069),0.024 (0.017<e2><80><93>0.035),0.1121 (0.0759<e2><80><93>0.1625)
Egypt,Male,Lower middle income,"77,344 (55,701<e2><80><93>101,183)",8.238 (5.933<e2><80><93>10.777),3.791 (2.730<e2><80><93>4.960),0.3883 (0.2796<e2><80><93>0.5079)
Egypt,Female,Lower middle income,"47,738 (33,150<e2><80><93>65,309)",5.085 (3.531<e2><80><93>6.956),2.367 (1.644<e2><80><93>3.238),0.2396 (0.1664<e2><80><93>0.3278)
Kyrgyzstan,Male,Lower middle income,"3,475 (2,880<e2><80><93>4,139)",0.146 (0.121<e2><80><93>0.174),0.064 (0.053<e2><80><93>0.076),0.2814 (0.2332<e2><80><93>0.3352)
Kyrgyzstan,Female,Lower middle income,"3,297 (2,783<e2><80><93>3,989)",0.138 (0.117<e2><80><93>0.167),0.058 (0.049<e2><80><93>0.070),0.2670 (0.2254<e2><80><93>0.3230)
Papua New Guinea,Male,Lower middle income,"2,484 (1,448<e2><80><93>4,388)",0.067 (0.039<e2><80><93>0.118),0.032 (0.019<e2><80><93>0.057),0.1374 (0.0801<e2><80><93>0.2428)
