Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Papua New Guinea,Female,Lower middle income,"1,883 (1,131<e2><80><93>2,877)",0.051 (0.030<e2><80><93>0.077),0.024 (0.015<e2><80><93>0.037),0.1042 (0.0626<e2><80><93>0.1592)
Saint Vincent and the Grenadines,Male,Upper middle income,113 (91<e2><80><93>141),0.013 (0.010<e2><80><93>0.016),0.006 (0.005<e2><80><93>0.007),0.6416 (0.5145<e2><80><93>0.7997)
Saint Vincent and the Grenadines,Female,Upper middle income,80 (63<e2><80><93>99),0.009 (0.007<e2><80><93>0.011),0.004 (0.003<e2><80><93>0.005),0.4535 (0.3553<e2><80><93>0.5611)
Republic of Moldova,Male,Upper middle income,"7,596 (6,411<e2><80><93>8,972)",0.775 (0.654<e2><80><93>0.915),0.343 (0.290<e2><80><93>0.406),1.7768 (1.4998<e2><80><93>2.0988)
Republic of Moldova,Female,Upper middle income,"4,304 (3,622<e2><80><93>5,060)",0.439 (0.370<e2><80><93>0.516),0.180 (0.152<e2><80><93>0.212),1.0069 (0.8473<e2><80><93>1.1837)
Dominica,Male,Upper middle income,94 (68<e2><80><93>125),0.011 (0.008<e2><80><93>0.015),0.005 (0.003<e2><80><93>0.006),0.8133 (0.5881<e2><80><93>1.0816)
Dominica,Female,Upper middle income,60 (45<e2><80><93>77),0.007 (0.005<e2><80><93>0.009),0.003 (0.002<e2><80><93>0.004),0.5182 (0.3867<e2><80><93>0.6630)
Bolivia (Plurinational State of),Male,Lower middle income,"10,365 (7,077<e2><80><93>14,404)",0.768 (0.525<e2><80><93>1.068),0.353 (0.241<e2><80><93>0.491),0.4867 (0.3323<e2><80><93>0.6764)
Bolivia (Plurinational State of),Female,Lower middle income,"7,657 (5,373<e2><80><93>10,482)",0.568 (0.398<e2><80><93>0.777),0.252 (0.177<e2><80><93>0.345),0.3596 (0.2523<e2><80><93>0.4922)
Burundi,Male,Low income,"1,953 (1,296<e2><80><93>2,886)",0.013 (0.009<e2><80><93>0.019),0.007 (0.005<e2><80><93>0.010),0.0820 (0.0544<e2><80><93>0.1212)
Burundi,Female,Low income,"1,425 (882<e2><80><93>2,026)",0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.007),0.0599 (0.0371<e2><80><93>0.0851)
Malaysia,Male,Upper middle income,"21,411 (18,290<e2><80><93>25,731)",4.489 (3.835<e2><80><93>5.395),1.896 (1.620<e2><80><93>2.279),0.3505 (0.2994<e2><80><93>0.4212)
Malaysia,Female,Upper middle income,"15,843 (11,912<e2><80><93>20,290)",3.322 (2.498<e2><80><93>4.254),1.369 (1.029<e2><80><93>1.753),0.2593 (0.1950<e2><80><93>0.3321)
Tajikistan,Male,Lower middle income,"1,550 (1,056<e2><80><93>2,059)",0.044 (0.030<e2><80><93>0.059),0.020 (0.014<e2><80><93>0.026),0.0858 (0.0585<e2><80><93>0.1140)
Tajikistan,Female,Lower middle income,"1,807 (1,233<e2><80><93>2,525)",0.052 (0.035<e2><80><93>0.072),0.023 (0.016<e2><80><93>0.032),0.1000 (0.0682<e2><80><93>0.1397)
China,Male,Upper middle income,"1,781,009 (1,519,033<e2><80><93>2,082,466)",257.833 (219.907<e2><80><93>301.474),105.490 (89.973<e2><80><93>123.345),0.7259 (0.6191<e2><80><93>0.8487)
China,Female,Upper middle income,"984,617 (824,039<e2><80><93>1,222,325)",142.541 (119.294<e2><80><93>176.953),56.010 (46.875<e2><80><93>69.532),0.4013 (0.3358<e2><80><93>0.4982)
Solomon Islands,Male,Lower middle income,408 (250<e2><80><93>615),0.006 (0.004<e2><80><93>0.009),0.003 (0.002<e2><80><93>0.005),0.2935 (0.1795<e2><80><93>0.4419)
Solomon Islands,Female,Lower middle income,187 (118<e2><80><93>275),0.003 (0.002<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.1346 (0.0850<e2><80><93>0.1978)
Belize,Male,Upper middle income,193 (156<e2><80><93>231),0.015 (0.012<e2><80><93>0.018),0.007 (0.005<e2><80><93>0.008),0.2698 (0.2185<e2><80><93>0.3231)
Belize,Female,Upper middle income,251 (203<e2><80><93>305),0.020 (0.016<e2><80><93>0.024),0.008 (0.007<e2><80><93>0.010),0.3508 (0.2846<e2><80><93>0.4271)
Uzbekistan,Male,Lower middle income,"11,525 (9,628<e2><80><93>13,621)",0.736 (0.615<e2><80><93>0.870),0.331 (0.276<e2><80><93>0.391),0.1859 (0.1553<e2><80><93>0.2197)
Uzbekistan,Female,Lower middle income,"8,717 (7,212<e2><80><93>10,491)",0.557 (0.461<e2><80><93>0.670),0.240 (0.199<e2><80><93>0.289),0.1406 (0.1163<e2><80><93>0.1692)
United Republic of Tanzania,Male,Lower middle income,"6,119 (4,031<e2><80><93>8,570)",0.141 (0.093<e2><80><93>0.198),0.066 (0.044<e2><80><93>0.093),0.0545 (0.0359<e2><80><93>0.0763)
United Republic of Tanzania,Female,Lower middle income,"3,988 (2,608<e2><80><93>5,755)",0.092 (0.060<e2><80><93>0.133),0.043 (0.028<e2><80><93>0.061),0.0355 (0.0232<e2><80><93>0.0512)
Nepal,Male,Lower middle income,"5,346 (3,398<e2><80><93>7,715)",0.166 (0.105<e2><80><93>0.239),0.074 (0.047<e2><80><93>0.107),0.1035 (0.0658<e2><80><93>0.1494)
Nepal,Female,Lower middle income,"3,581 (2,332<e2><80><93>5,337)",0.111 (0.072<e2><80><93>0.166),0.049 (0.032<e2><80><93>0.073),0.0693 (0.0452<e2><80><93>0.1033)
Myanmar,Male,Lower middle income,"27,763 (17,716<e2><80><93>39,933)",0.950 (0.606<e2><80><93>1.367),0.484 (0.309<e2><80><93>0.696),0.2949 (0.1882<e2><80><93>0.4241)
Myanmar,Female,Lower middle income,"25,606 (16,798<e2><80><93>36,574)",0.876 (0.575<e2><80><93>1.252),0.406 (0.266<e2><80><93>0.580),0.2720 (0.1784<e2><80><93>0.3884)
Grenada,Male,Upper middle income,154 (120<e2><80><93>189),0.017 (0.013<e2><80><93>0.021),0.007 (0.006<e2><80><93>0.009),0.7547 (0.5889<e2><80><93>0.9280)
Grenada,Female,Upper middle income,111 (90<e2><80><93>136),0.012 (0.010<e2><80><93>0.015),0.005 (0.004<e2><80><93>0.006),0.5454 (0.4404<e2><80><93>0.6697)
Sri Lanka,Male,Lower middle income,"11,547 (9,263<e2><80><93>13,949)",0.960 (0.770<e2><80><93>1.159),0.411 (0.330<e2><80><93>0.497),0.3013 (0.2417<e2><80><93>0.3639)
Sri Lanka,Female,Lower middle income,"9,443 (7,585<e2><80><93>12,128)",0.785 (0.630<e2><80><93>1.008),0.320 (0.257<e2><80><93>0.410),0.2464 (0.1979<e2><80><93>0.3164)
Suriname,Male,Upper middle income,553 (394<e2><80><93>768),0.067 (0.048<e2><80><93>0.093),0.031 (0.022<e2><80><93>0.043),0.5052 (0.3601<e2><80><93>0.7020)
Suriname,Female,Upper middle income,440 (312<e2><80><93>594),0.053 (0.038<e2><80><93>0.072),0.023 (0.017<e2><80><93>0.032),0.4021 (0.2853<e2><80><93>0.5428)
Mauritania,Male,Lower middle income,"1,195 (788<e2><80><93>1,765)",0.048 (0.032<e2><80><93>0.071),0.022 (0.015<e2><80><93>0.033),0.1368 (0.0902<e2><80><93>0.2020)
Mauritania,Female,Lower middle income,"1,144 (731<e2><80><93>1,600)",0.046 (0.029<e2><80><93>0.064),0.022 (0.014<e2><80><93>0.030),0.1309 (0.0837<e2><80><93>0.1832)
Madagascar,Male,Low income,"5,837 (3,731<e2><80><93>8,713)",0.061 (0.039<e2><80><93>0.091),0.031 (0.020<e2><80><93>0.046),0.1076 (0.0688<e2><80><93>0.1606)
Madagascar,Female,Low income,"5,596 (3,504<e2><80><93>8,559)",0.058 (0.036<e2><80><93>0.089),0.029 (0.018<e2><80><93>0.045),0.1031 (0.0646<e2><80><93>0.1577)
Jordan,Male,Lower middle income,"8,813 (6,325<e2><80><93>11,675)",0.528 (0.379<e2><80><93>0.699),0.219 (0.157<e2><80><93>0.290),0.4429 (0.3179<e2><80><93>0.5868)
Jordan,Female,Lower middle income,"4,733 (3,446<e2><80><93>6,274)",0.283 (0.206<e2><80><93>0.376),0.118 (0.086<e2><80><93>0.157),0.2379 (0.1732<e2><80><93>0.3154)
Vanuatu,Male,Lower middle income,91 (55<e2><80><93>142),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.1631 (0.0990<e2><80><93>0.2557)
Vanuatu,Female,Lower middle income,48 (31<e2><80><93>70),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0860 (0.0551<e2><80><93>0.1250)
Albania,Male,Upper middle income,"3,406 (2,613<e2><80><93>4,283)",0.473 (0.362<e2><80><93>0.594),0.196 (0.150<e2><80><93>0.246),0.8113 (0.6223<e2><80><93>1.0201)
Albania,Female,Upper middle income,"1,878 (1,229<e2><80><93>2,450)",0.260 (0.170<e2><80><93>0.340),0.104 (0.068<e2><80><93>0.136),0.4472 (0.2927<e2><80><93>0.5835)
Ukraine,Male,Upper middle income,"81,215 (68,679<e2><80><93>97,074)",8.249 (6.976<e2><80><93>9.860),3.944 (3.335<e2><80><93>4.714),1.3243 (1.1199<e2><80><93>1.5829)
Ukraine,Female,Upper middle income,"50,708 (41,705<e2><80><93>60,860)",5.150 (4.236<e2><80><93>6.181),2.172 (1.786<e2><80><93>2.607),0.8269 (0.6800<e2><80><93>0.9924)
Zambia,Male,Lower middle income,"1,853 (1,127<e2><80><93>2,734)",0.043 (0.026<e2><80><93>0.064),0.023 (0.014<e2><80><93>0.034),0.0514 (0.0313<e2><80><93>0.0759)
Zambia,Female,Lower middle income,"1,694 (1,137<e2><80><93>2,408)",0.040 (0.027<e2><80><93>0.056),0.021 (0.014<e2><80><93>0.029),0.0470 (0.0315<e2><80><93>0.0668)
Serbia,Male,Upper middle income,"20,857 (16,845<e2><80><93>25,572)",3.448 (2.784<e2><80><93>4.227),1.484 (1.199<e2><80><93>1.819),1.8106 (1.4623<e2><80><93>2.2198)
Serbia,Female,Upper middle income,"17,373 (14,503<e2><80><93>21,910)",2.872 (2.397<e2><80><93>3.622),1.192 (0.995<e2><80><93>1.503),1.5082 (1.2590<e2><80><93>1.9020)
Argentina,Male,Upper middle income,"69,158 (61,433<e2><80><93>77,623)",12.017 (10.675<e2><80><93>13.488),5.130 (4.557<e2><80><93>5.758),0.8732 (0.7756<e2><80><93>0.9800)
Argentina,Female,Upper middle income,"67,190 (58,003<e2><80><93>76,232)",11.675 (10.079<e2><80><93>13.246),4.799 (4.142<e2><80><93>5.444),0.8483 (0.7323<e2><80><93>0.9625)
Honduras,Male,Lower middle income,"2,338 (1,519<e2><80><93>3,333)",0.096 (0.063<e2><80><93>0.138),0.042 (0.027<e2><80><93>0.060),0.1263 (0.0820<e2><80><93>0.1800)
Honduras,Female,Lower middle income,"3,548 (2,331<e2><80><93>5,135)",0.146 (0.096<e2><80><93>0.212),0.063 (0.041<e2><80><93>0.091),0.1917 (0.1259<e2><80><93>0.2774)
Ecuador,Male,Upper middle income,"8,571 (7,450<e2><80><93>9,692)",0.784 (0.682<e2><80><93>0.887),0.342 (0.298<e2><80><93>0.387),0.2741 (0.2382<e2><80><93>0.3099)
Ecuador,Female,Upper middle income,"8,717 (7,708<e2><80><93>9,729)",0.798 (0.705<e2><80><93>0.890),0.330 (0.292<e2><80><93>0.369),0.2787 (0.2465<e2><80><93>0.3111)
Cabo Verde,Male,Upper middle income,356 (233<e2><80><93>493),0.021 (0.014<e2><80><93>0.029),0.009 (0.006<e2><80><93>0.013),0.3922 (0.2564<e2><80><93>0.5424)
Cabo Verde,Female,Upper middle income,556 (387<e2><80><93>784),0.033 (0.023<e2><80><93>0.046),0.014 (0.010<e2><80><93>0.019),0.6120 (0.4258<e2><80><93>0.8630)
Lesotho,Male,Lower middle income,543 (345<e2><80><93>784),0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.007),0.1351 (0.0858<e2><80><93>0.1950)
Lesotho,Female,Lower middle income,515 (329<e2><80><93>709),0.009 (0.005<e2><80><93>0.012),0.005 (0.003<e2><80><93>0.006),0.1282 (0.0819<e2><80><93>0.1762)
Iran (Islamic Republic of),Male,Upper middle income,"50,585 (35,302<e2><80><93>67,856)",5.502 (3.840<e2><80><93>7.380),2.319 (1.618<e2><80><93>3.111),0.3210 (0.2240<e2><80><93>0.4306)
Iran (Islamic Republic of),Female,Upper middle income,"28,710 (20,072<e2><80><93>38,964)",3.123 (2.183<e2><80><93>4.238),1.311 (0.916<e2><80><93>1.779),0.1822 (0.1274<e2><80><93>0.2472)
Dominican Republic,Male,Upper middle income,"9,103 (6,259<e2><80><93>12,350)",1.352 (0.930<e2><80><93>1.835),0.620 (0.426<e2><80><93>0.841),0.4619 (0.3176<e2><80><93>0.6266)
Dominican Republic,Female,Upper middle income,"7,016 (5,121<e2><80><93>9,389)",1.042 (0.761<e2><80><93>1.395),0.452 (0.330<e2><80><93>0.605),0.3560 (0.2599<e2><80><93>0.4764)
Nicaragua,Male,Lower middle income,"2,464 (1,748<e2><80><93>3,342)",0.118 (0.084<e2><80><93>0.160),0.052 (0.037<e2><80><93>0.070),0.2076 (0.1473<e2><80><93>0.2816)
Nicaragua,Female,Lower middle income,"2,801 (2,034<e2><80><93>3,788)",0.134 (0.097<e2><80><93>0.181),0.057 (0.041<e2><80><93>0.076),0.2360 (0.1714<e2><80><93>0.3192)
Nigeria,Male,Lower middle income,"14,472 (9,137<e2><80><93>19,747)",0.724 (0.457<e2><80><93>0.988),0.367 (0.231<e2><80><93>0.500),0.0365 (0.0231<e2><80><93>0.0498)
Nigeria,Female,Lower middle income,"10,770 (7,298<e2><80><93>15,716)",0.539 (0.365<e2><80><93>0.787),0.271 (0.184<e2><80><93>0.396),0.0272 (0.0184<e2><80><93>0.0397)
Fiji,Male,Upper middle income,565 (378<e2><80><93>777),0.048 (0.032<e2><80><93>0.065),0.023 (0.015<e2><80><93>0.032),0.3512 (0.2352<e2><80><93>0.4831)
Fiji,Female,Upper middle income,306 (211<e2><80><93>427),0.026 (0.018<e2><80><93>0.036),0.012 (0.008<e2><80><93>0.017),0.1903 (0.1310<e2><80><93>0.2654)
Timor-Leste,Male,Lower middle income,293 (178<e2><80><93>447),0.008 (0.005<e2><80><93>0.012),0.004 (0.002<e2><80><93>0.006),0.1215 (0.0737<e2><80><93>0.1859)
Timor-Leste,Female,Lower middle income,337 (224<e2><80><93>475),0.009 (0.006<e2><80><93>0.013),0.004 (0.003<e2><80><93>0.006),0.1398 (0.0929<e2><80><93>0.1973)
Lebanon,Male,Lower middle income,"7,092 (5,341<e2><80><93>9,274)",0.513 (0.386<e2><80><93>0.670),0.218 (0.164<e2><80><93>0.285),0.7063 (0.5319<e2><80><93>0.9235)
Lebanon,Female,Lower middle income,"4,495 (3,296<e2><80><93>6,040)",0.325 (0.238<e2><80><93>0.437),0.136 (0.100<e2><80><93>0.183),0.4476 (0.3283<e2><80><93>0.6014)
Liberia,Male,Low income,"1,343 (866<e2><80><93>2,002)",0.014 (0.009<e2><80><93>0.021),0.007 (0.005<e2><80><93>0.011),0.1406 (0.0907<e2><80><93>0.2096)
Liberia,Female,Low income,"951 (608<e2><80><93>1,413)",0.010 (0.006<e2><80><93>0.015),0.005 (0.003<e2><80><93>0.008),0.0996 (0.0636<e2><80><93>0.1479)
Morocco,Male,Lower middle income,"11,882 (7,454<e2><80><93>18,050)",0.676 (0.424<e2><80><93>1.027),0.293 (0.184<e2><80><93>0.445),0.1784 (0.1119<e2><80><93>0.2710)
Morocco,Female,Lower middle income,"9,423 (6,315<e2><80><93>13,259)",0.536 (0.359<e2><80><93>0.754),0.243 (0.163<e2><80><93>0.341),0.1415 (0.0948<e2><80><93>0.1991)
Somalia,Male,Low income,"1,128 (719<e2><80><93>1,796)",0.010 (0.006<e2><80><93>0.016),0.005 (0.003<e2><80><93>0.008),0.0353 (0.0225<e2><80><93>0.0562)
Somalia,Female,Low income,"1,031 (672<e2><80><93>1,466)",0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.006),0.0323 (0.0210<e2><80><93>0.0459)
Armenia,Male,Upper middle income,"4,937 (4,215<e2><80><93>5,733)",0.611 (0.522<e2><80><93>0.710),0.257 (0.220<e2><80><93>0.299),0.9575 (0.8175<e2><80><93>1.1120)
Armenia,Female,Upper middle income,"3,670 (3,160<e2><80><93>4,288)",0.454 (0.391<e2><80><93>0.531),0.182 (0.156<e2><80><93>0.212),0.7118 (0.6128<e2><80><93>0.8318)
Senegal,Male,Lower middle income,"2,962 (1,882<e2><80><93>4,266)",0.081 (0.052<e2><80><93>0.117),0.038 (0.024<e2><80><93>0.054),0.0942 (0.0599<e2><80><93>0.1357)
Senegal,Female,Lower middle income,"2,579 (1,767<e2><80><93>3,662)",0.071 (0.049<e2><80><93>0.101),0.033 (0.022<e2><80><93>0.046),0.0820 (0.0562<e2><80><93>0.1165)
Brazil,Male,Upper middle income,"203,346 (190,743<e2><80><93>216,159)",24.757 (23.223<e2><80><93>26.317),10.967 (10.288<e2><80><93>11.658),0.5537 (0.5194<e2><80><93>0.5886)
Brazil,Female,Upper middle income,"192,173 (176,554<e2><80><93>205,593)",23.397 (21.495<e2><80><93>25.031),9.911 (9.106<e2><80><93>10.603),0.5233 (0.4808<e2><80><93>0.5598)
Marshall Islands,Male,Upper middle income,28 (18<e2><80><93>48),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.4148 (0.2620<e2><80><93>0.7104)
Marshall Islands,Female,Upper middle income,21 (13<e2><80><93>33),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.3070 (0.1909<e2><80><93>0.4868)
Belarus,Male,Upper middle income,"19,417 (16,743<e2><80><93>22,169)",3.442 (2.968<e2><80><93>3.930),1.569 (1.353<e2><80><93>1.792),1.2164 (1.0488<e2><80><93>1.3887)
Belarus,Female,Upper middle income,"12,628 (11,236<e2><80><93>14,132)",2.239 (1.992<e2><80><93>2.505),0.926 (0.824<e2><80><93>1.037),0.7910 (0.7038<e2><80><93>0.8853)
Tuvalu,Male,Upper middle income,10 (6<e2><80><93>14),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.5775 (0.3798<e2><80><93>0.7974)
Tuvalu,Female,Upper middle income,5 (3<e2><80><93>7),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.2744 (0.1797<e2><80><93>0.3973)
Uganda,Male,Low income,"10,649 (6,915<e2><80><93>15,037)",0.190 (0.123<e2><80><93>0.268),0.095 (0.062<e2><80><93>0.134),0.1258 (0.0817<e2><80><93>0.1777)
Uganda,Female,Low income,"9,654 (6,427<e2><80><93>13,671)",0.172 (0.114<e2><80><93>0.243),0.082 (0.055<e2><80><93>0.117),0.1141 (0.0759<e2><80><93>0.1615)
Burkina Faso,Male,Low income,"2,538 (1,685<e2><80><93>3,512)",0.040 (0.027<e2><80><93>0.056),0.020 (0.013<e2><80><93>0.027),0.0634 (0.0421<e2><80><93>0.0877)
Burkina Faso,Female,Low income,"2,420 (1,609<e2><80><93>3,321)",0.038 (0.026<e2><80><93>0.053),0.018 (0.012<e2><80><93>0.025),0.0604 (0.0402<e2><80><93>0.0829)
Cambodia,Male,Lower middle income,"4,399 (2,780<e2><80><93>6,339)",0.188 (0.119<e2><80><93>0.271),0.084 (0.053<e2><80><93>0.121),0.1452 (0.0917<e2><80><93>0.2092)
Cambodia,Female,Lower middle income,"4,745 (3,131<e2><80><93>7,058)",0.203 (0.134<e2><80><93>0.302),0.088 (0.058<e2><80><93>0.130),0.1566 (0.1033<e2><80><93>0.2329)
South Africa,Male,Upper middle income,"42,591 (35,366<e2><80><93>52,381)",3.722 (3.091<e2><80><93>4.578),1.893 (1.571<e2><80><93>2.328),0.3874 (0.3217<e2><80><93>0.4764)
South Africa,Female,Upper middle income,"35,589 (28,091<e2><80><93>45,704)",3.110 (2.455<e2><80><93>3.994),1.490 (1.176<e2><80><93>1.914),0.3237 (0.2555<e2><80><93>0.4157)
Algeria,Male,Upper middle income,"12,983 (7,565<e2><80><93>19,391)",1.256 (0.732<e2><80><93>1.876),0.538 (0.313<e2><80><93>0.803),0.1617 (0.0942<e2><80><93>0.2415)
Algeria,Female,Upper middle income,"7,733 (5,136<e2><80><93>11,054)",0.748 (0.497<e2><80><93>1.069),0.320 (0.212<e2><80><93>0.457),0.0963 (0.0640<e2><80><93>0.1377)
Azerbaijan,Male,Upper middle income,"8,605 (6,170<e2><80><93>11,144)",1.170 (0.839<e2><80><93>1.515),0.531 (0.381<e2><80><93>0.688),0.4872 (0.3494<e2><80><93>0.6310)
Azerbaijan,Female,Upper middle income,"4,992 (3,594<e2><80><93>6,622)",0.679 (0.489<e2><80><93>0.901),0.295 (0.212<e2><80><93>0.391),0.2827 (0.2035<e2><80><93>0.3750)
Kenya,Male,Lower middle income,"11,303 (7,775<e2><80><93>15,204)",0.411 (0.282<e2><80><93>0.552),0.191 (0.131<e2><80><93>0.257),0.1174 (0.0808<e2><80><93>0.1580)
Kenya,Female,Lower middle income,"13,694 (9,557<e2><80><93>19,088)",0.497 (0.347<e2><80><93>0.693),0.227 (0.159<e2><80><93>0.317),0.1423 (0.0993<e2><80><93>0.1983)
Ghana,Male,Lower middle income,"9,574 (6,340<e2><80><93>13,654)",0.416 (0.275<e2><80><93>0.593),0.208 (0.138<e2><80><93>0.297),0.1629 (0.1079<e2><80><93>0.2323)
Ghana,Female,Lower middle income,"7,773 (5,134<e2><80><93>11,058)",0.338 (0.223<e2><80><93>0.480),0.163 (0.107<e2><80><93>0.231),0.1323 (0.0874<e2><80><93>0.1882)
Bosnia and Herzegovina,Male,Upper middle income,"6,957 (5,497<e2><80><93>8,623)",0.901 (0.711<e2><80><93>1.116),0.386 (0.305<e2><80><93>0.478),1.2559 (0.9922<e2><80><93>1.5566)
Bosnia and Herzegovina,Female,Upper middle income,"5,805 (4,641<e2><80><93>7,238)",0.751 (0.601<e2><80><93>0.937),0.309 (0.247<e2><80><93>0.385),1.0479 (0.8378<e2><80><93>1.3065)
