Age Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),Share of total VLW (%)
<5 years,0,0,0.0
5-9 years,0,0,0.0
10-14 years,0,0,0.0
15-19 years,9429,0.863,0.1
20-24 years,16862,1.525,0.2
25-29 years,31754,3.074,0.4
30-34 years,85110,8.361,1.1
35-39 years,166416,17.31,2.2
40-44 years,269020,28.436,3.7
45-49 years,436074,48.862,6.3
50-54 years,686077,79.719,10.3
55-59 years,910722,108.578,14.1
60-64 years,1011450,120.009,15.5
65-69 years,1024797,125.117,16.2
70-74 years,832014,103.442,13.4
75-79 years,510474,64.637,8.4
80-84 years,275935,35.519,4.6
85-89 years,143373,18.615,2.4
90-94 years,47229,6.345,0.8
95+ years,11918,1.558,0.2
