Year,"VLW (billion USD, 95% PI)","DALYs (thousands, 95% PI)"
2024,739.18 (714.30<e2><80><93>764.05),"6,441.6 (6,243.6<e2><80><93>6,639.6)"
2025,757.12 (719.24<e2><80><93>795.01),"6,628.5 (6,326.2<e2><80><93>6,930.8)"
2026,774.71 (724.83<e2><80><93>824.59),"6,811.6 (6,406.2<e2><80><93>7,217.1)"
2027,791.94 (730.29<e2><80><93>853.60),"6,991.1 (6,479.9<e2><80><93>7,502.4)"
2028,808.83 (735.37<e2><80><93>882.29),"7,167.0 (6,546.6<e2><80><93>7,787.5)"
2029,825.38 (739.98<e2><80><93>910.78),"7,339.4 (6,606.2<e2><80><93>8,072.6)"
2030,841.60 (744.07<e2><80><93>939.13),"7,508.4 (6,658.9<e2><80><93>8,357.8)"
2031,857.49 (747.64<e2><80><93>967.35),"7,673.9 (6,704.9<e2><80><93>8,643.0)"
2032,873.07 (750.68<e2><80><93>995.46),"7,836.2 (6,744.3<e2><80><93>8,928.0)"
2033,"888.33 (753.20<e2><80><93>1,023.46)","7,995.1 (6,777.5<e2><80><93>9,212.8)"
2034,"903.29 (755.21<e2><80><93>1,051.36)","8,151.0 (6,804.7<e2><80><93>9,497.2)"
2035,"917.95 (756.74<e2><80><93>1,079.15)","8,303.7 (6,826.2<e2><80><93>9,781.2)"
2036,"932.31 (757.79<e2><80><93>1,106.83)","8,453.3 (6,842.2<e2><80><93>10,064.5)"
2037,"946.39 (758.37<e2><80><93>1,134.40)","8,600.0 (6,852.9<e2><80><93>10,347.1)"
2038,"960.18 (758.52<e2><80><93>1,161.84)","8,743.7 (6,858.5<e2><80><93>10,628.9)"
2039,"973.70 (758.24<e2><80><93>1,189.16)","8,884.5 (6,859.4<e2><80><93>10,909.7)"
2040,"986.94 (757.54<e2><80><93>1,216.35)","9,022.6 (6,855.5<e2><80><93>11,189.6)"
2041,"999.93 (756.45<e2><80><93>1,243.41)","9,157.8 (6,847.3<e2><80><93>11,468.4)"
2042,"1,012.65 (754.97<e2><80><93>1,270.33)","9,290.4 (6,834.7<e2><80><93>11,746.1)"
2043,"1,025.12 (753.12<e2><80><93>1,297.11)","9,420.3 (6,818.1<e2><80><93>12,022.6)"
2044,"1,037.33 (750.92<e2><80><93>1,323.74)","9,547.6 (6,797.5<e2><80><93>12,297.8)"
2045,"1,049.30 (748.38<e2><80><93>1,350.23)","9,672.4 (6,773.1<e2><80><93>12,571.7)"
2046,"1,061.04 (745.50<e2><80><93>1,376.57)","9,794.7 (6,745.1<e2><80><93>12,844.3)"
2047,"1,072.53 (742.31<e2><80><93>1,402.76)","9,914.5 (6,713.5<e2><80><93>13,115.5)"
2048,"1,083.80 (738.81<e2><80><93>1,428.79)","10,031.9 (6,678.7<e2><80><93>13,385.2)"
2049,"1,094.84 (735.02<e2><80><93>1,454.67)","10,147.0 (6,640.5<e2><80><93>13,653.5)"
2050,"1,105.66 (730.94<e2><80><93>1,480.39)","10,259.8 (6,599.3<e2><80><93>13,920.3)"
