Income Group,Countries,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted r=0 (billion constant-2023 USD),VLW/GDP (%; point estimate),Mean HALE
Low income,20,142.8,1.95,0.99,0.1742,54.3
Lower middle income,50,1467.5,88.59,40.27,0.2994,59.8
Upper middle income,52,4858.3,681.43,283.3,1.0404,63.6
All LMICs,122,6468.7,771.97,324.56,0.8024,60.5
