Sex,Income Group,Countries,DALYs (thousands),VLW (billion USD),VLW undiscounted (billion USD)
Both,Low income,20,142.8 (91.0<e2><80><93>208.7),1.95 (1.25<e2><80><93>2.84),0.99 (0.63<e2><80><93>1.44)
Both,Lower middle income,49,"1,452.5 (1,006.9<e2><80><93>2,010.4)",87.96 (61.39<e2><80><93>120.94),39.96 (27.87<e2><80><93>54.95)
Both,Upper middle income,51,"4,655.4 (3,890.3<e2><80><93>5,593.1)",631.03 (530.68<e2><80><93>754.29),261.67 (219.94<e2><80><93>312.78)
Female,Low income,20,66.4 (42.8<e2><80><93>94.8),0.89 (0.58<e2><80><93>1.27),0.45 (0.29<e2><80><93>0.64)
Female,Lower middle income,49,610.7 (426.9<e2><80><93>855.5),36.06 (25.35<e2><80><93>50.31),16.29 (11.44<e2><80><93>22.74)
Female,Upper middle income,51,"1,823.8 (1,516.9<e2><80><93>2,227.3)",245.56 (205.31<e2><80><93>298.93),99.50 (83.16<e2><80><93>121.08)
Male,Low income,20,76.4 (48.2<e2><80><93>113.9),1.06 (0.67<e2><80><93>1.57),0.54 (0.34<e2><80><93>0.80)
Male,Lower middle income,49,"841.9 (579.9<e2><80><93>1,154.9)",51.90 (36.04<e2><80><93>70.63),23.67 (16.43<e2><80><93>32.22)
Male,Upper middle income,51,"2,831.6 (2,373.4<e2><80><93>3,365.8)",385.47 (325.36<e2><80><93>455.36),162.17 (136.79<e2><80><93>191.70)
