Income Group,Year,DALYs (thousands),VLW (billion USD)
Low income,1990,37.6 (23.5<e2><80><93>55.9),0.51 (0.32<e2><80><93>0.75)
Low income,2000,44.1 (28.5<e2><80><93>65.2),0.60 (0.40<e2><80><93>0.89)
Low income,2010,63.7 (41.9<e2><80><93>93.9),0.88 (0.58<e2><80><93>1.28)
Low income,2023,142.8 (91.0<e2><80><93>208.7),1.95 (1.25<e2><80><93>2.84)
Lower middle income,1990,331.0 (221.7<e2><80><93>460.1),19.03 (12.87<e2><80><93>26.26)
Lower middle income,2000,481.4 (335.5<e2><80><93>668.7),28.17 (19.73<e2><80><93>38.90)
Lower middle income,2010,735.0 (535.9<e2><80><93>992.4),44.42 (32.65<e2><80><93>59.52)
Lower middle income,2023,"1,452.5 (1,006.9<e2><80><93>2,010.4)",87.96 (61.39<e2><80><93>120.94)
Upper middle income,1990,"1,882.8 (1,532.4<e2><80><93>2,339.2)",262.31 (214.18<e2><80><93>325.19)
Upper middle income,2000,"2,505.7 (2,168.1<e2><80><93>2,963.1)",347.38 (301.86<e2><80><93>409.69)
Upper middle income,2010,"3,237.3 (2,884.1<e2><80><93>3,654.1)",444.43 (398.16<e2><80><93>498.82)
Upper middle income,2023,"4,655.4 (3,890.3<e2><80><93>5,593.1)",631.03 (530.68<e2><80><93>754.29)
