Rank,Country,Income Group,GDP pc (PPP),DALYs (thousands),VLW (billion USD),VLW/GDP (%)
85,Bhutan,Lower middle income,"16,215",0.3 (0.2<e2><80><93>0.5),0.031 (0.019<e2><80><93>0.045),0.2429 (0.1504<e2><80><93>0.3561)
86,Papua New Guinea,Lower middle income,"4,668",4.4 (2.6<e2><80><93>7.3),0.117 (0.069<e2><80><93>0.195),0.2416 (0.1428<e2><80><93>0.4021)
87,Liberia,Low income,"1,795",2.3 (1.5<e2><80><93>3.4),0.024 (0.015<e2><80><93>0.035),0.2402 (0.1543<e2><80><93>0.3575)
88,Uganda,Low income,"3,098",20.3 (13.3<e2><80><93>28.7),0.362 (0.238<e2><80><93>0.511),0.2399 (0.1576<e2><80><93>0.3392)
89,India,Lower middle income,"10,323",591.8 (415.6<e2><80><93>819.3),35.125 (24.670<e2><80><93>48.630),0.2366 (0.1662<e2><80><93>0.3276)
90,Sudan,Low income,"2,421",20.3 (12.2<e2><80><93>30.8),0.283 (0.170<e2><80><93>0.429),0.2334 (0.1405<e2><80><93>0.3544)
91,Pakistan,Lower middle income,"6,014",94.8 (61.6<e2><80><93>137.3),3.279 (2.132<e2><80><93>4.749),0.2203 (0.1432<e2><80><93>0.3190)
92,Madagascar,Low income,"1,808",11.4 (7.2<e2><80><93>17.3),0.119 (0.075<e2><80><93>0.180),0.2107 (0.1333<e2><80><93>0.3183)
93,Congo,Lower middle income,"6,850",2.3 (1.5<e2><80><93>3.2),0.089 (0.059<e2><80><93>0.126),0.2096 (0.1403<e2><80><93>0.2986)
94,Sierra Leone,Low income,"3,368",2.8 (1.8<e2><80><93>4.0),0.054 (0.034<e2><80><93>0.077),0.1886 (0.1210<e2><80><93>0.2692)
95,Tajikistan,Lower middle income,"4,964",3.4 (2.3<e2><80><93>4.6),0.096 (0.065<e2><80><93>0.131),0.1858 (0.1267<e2><80><93>0.2537)
96,Togo,Low income,"3,154",3.0 (1.9<e2><80><93>4.3),0.054 (0.035<e2><80><93>0.078),0.1846 (0.1194<e2><80><93>0.2653)
97,Benin,Lower middle income,"4,130",4.4 (2.9<e2><80><93>6.2),0.104 (0.069<e2><80><93>0.146),0.1778 (0.1182<e2><80><93>0.2513)
98,Senegal,Lower middle income,"4,778",5.5 (3.6<e2><80><93>7.9),0.152 (0.100<e2><80><93>0.218),0.1762 (0.1161<e2><80><93>0.2522)
99,Democratic Republic of the Congo,Low income,"1,731",31.9 (20.0<e2><80><93>45.4),0.317 (0.199<e2><80><93>0.451),0.1733 (0.1089<e2><80><93>0.2466)
100,Nepal,Lower middle income,"5,395",8.9 (5.7<e2><80><93>13.1),0.277 (0.178<e2><80><93>0.405),0.1729 (0.1110<e2><80><93>0.2527)
101,Angola,Lower middle income,"9,754",10.7 (7.1<e2><80><93>15.4),0.602 (0.401<e2><80><93>0.863),0.1681 (0.1118<e2><80><93>0.2408)
102,Guinea-Bissau,Low income,"2,990",0.5 (0.3<e2><80><93>0.7),0.009 (0.006<e2><80><93>0.013),0.1421 (0.0929<e2><80><93>0.1998)
103,Burundi,Low income,"1,150",3.4 (2.2<e2><80><93>4.9),0.022 (0.014<e2><80><93>0.032),0.1419 (0.0915<e2><80><93>0.2063)
104,Central African Republic,Low income,"1,257",1.3 (0.7<e2><80><93>2.0),0.009 (0.005<e2><80><93>0.014),0.1401 (0.0815<e2><80><93>0.2233)
105,Niger,Low income,"1,875",6.2 (4.0<e2><80><93>8.6),0.067 (0.043<e2><80><93>0.093),0.1361 (0.0882<e2><80><93>0.1893)
106,Namibia,Lower middle income,"11,251",0.7 (0.4<e2><80><93>0.9),0.043 (0.029<e2><80><93>0.059),0.1291 (0.0858<e2><80><93>0.1756)
107,Burkina Faso,Low income,"2,759",5.0 (3.3<e2><80><93>6.8),0.079 (0.052<e2><80><93>0.108),0.1238 (0.0823<e2><80><93>0.1706)
108,Comoros,Lower middle income,"3,812",0.2 (0.1<e2><80><93>0.2),0.004 (0.002<e2><80><93>0.005),0.1124 (0.0746<e2><80><93>0.1601)
109,Chad,Low income,"2,700",3.7 (2.4<e2><80><93>5.5),0.058 (0.037<e2><80><93>0.086),0.1111 (0.0713<e2><80><93>0.1647)
110,Zambia,Lower middle income,"4,077",3.5 (2.3<e2><80><93>5.1),0.083 (0.053<e2><80><93>0.121),0.0984 (0.0628<e2><80><93>0.1427)
111,Sao Tome and Principe,Lower middle income,"6,150",0.0 (0.0<e2><80><93>0.1),0.001 (0.001<e2><80><93>0.002),0.0938 (0.0601<e2><80><93>0.1342)
112,Kiribati,Lower middle income,"3,486",0.0 (0.0<e2><80><93>0.0),0.000 (0.000<e2><80><93>0.001),0.0917 (0.0593<e2><80><93>0.1292)
113,United Republic of Tanzania,Lower middle income,"4,019",10.1 (6.6<e2><80><93>14.3),0.234 (0.153<e2><80><93>0.331),0.0900 (0.0591<e2><80><93>0.1276)
114,Gambia,Low income,"3,289",0.4 (0.3<e2><80><93>0.6),0.007 (0.005<e2><80><93>0.010),0.0834 (0.0556<e2><80><93>0.1183)
115,Malawi,Low income,"1,830",2.7 (1.8<e2><80><93>3.9),0.029 (0.019<e2><80><93>0.041),0.0745 (0.0488<e2><80><93>0.1070)
116,Guinea,Lower middle income,"4,334",1.8 (1.2<e2><80><93>2.6),0.045 (0.030<e2><80><93>0.064),0.0721 (0.0483<e2><80><93>0.1019)
117,Somalia,Low income,"1,556",2.2 (1.4<e2><80><93>3.3),0.019 (0.012<e2><80><93>0.029),0.0676 (0.0435<e2><80><93>0.1022)
118,Afghanistan,Low income,"2,202",4.8 (2.8<e2><80><93>9.3),0.060 (0.035<e2><80><93>0.118),0.0661 (0.0384<e2><80><93>0.1291)
119,Nigeria,Lower middle income,"8,705",25.2 (16.4<e2><80><93>35.5),1.263 (0.823<e2><80><93>1.775),0.0637 (0.0415<e2><80><93>0.0895)
120,Mozambique,Low income,"1,678",1.2 (0.8<e2><80><93>1.7),0.011 (0.007<e2><80><93>0.016),0.0199 (0.0131<e2><80><93>0.0290)
