population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,95,1,1,456,1,2006,0,0,0
1,2,95,2,1,456,1,2006,0,0,0
1,2,95,3,1,456,1,2006,0,0,0
1,2,95,1,1,456,3,2006,0,0,0
1,2,95,2,1,456,3,2006,0,0,0
1,2,95,3,1,456,3,2006,0,0,0
1,2,95,1,6,456,1,2006,0,0,0
1,2,95,2,6,456,1,2006,0,0,0
1,2,95,3,6,456,1,2006,0,0,0
1,2,95,1,6,456,3,2006,0,0,0
1,2,95,2,6,456,3,2006,0,0,0
1,2,95,3,6,456,3,2006,0,0,0
1,2,95,1,7,456,1,2006,0,0,0
1,2,95,2,7,456,1,2006,0,0,0
1,2,95,3,7,456,1,2006,0,0,0
1,2,95,1,7,456,3,2006,0,0,0
1,2,95,2,7,456,3,2006,0,0,0
1,2,95,3,7,456,3,2006,0,0,0
1,2,95,1,8,456,1,2006,27.499678371734912,32.53616790473,23.46692105164473
1,2,95,2,8,456,1,2006,31.897639933966097,37.48264362160927,27.47433582865518
1,2,95,3,8,456,1,2006,59.39731830570103,66.75130812326128,53.04677465274886
1,2,95,1,8,456,3,2006,1.3330013462986974,1.5771368317159469,1.1375201168708855
1,2,95,2,8,456,3,2006,1.6236955084207152,1.9079906920428433,1.3985346807531995
1,2,95,3,8,456,3,2006,1.474794385038642,1.6573888724656658,1.3171147727518753
1,2,14,1,1,456,1,2006,0,0,0
1,2,14,2,1,456,1,2006,0,0,0
1,2,14,3,1,456,1,2006,0,0,0
1,2,14,1,1,456,3,2006,0,0,0
1,2,14,2,1,456,3,2006,0,0,0
1,2,14,3,1,456,3,2006,0,0,0
1,2,14,1,6,456,1,2006,0,0,0
1,2,14,2,6,456,1,2006,0,0,0
1,2,14,3,6,456,1,2006,0,0,0
1,2,14,1,6,456,3,2006,0,0,0
1,2,14,2,6,456,3,2006,0,0,0
1,2,14,3,6,456,3,2006,0,0,0
1,2,14,1,7,456,1,2006,0,0,0
1,2,14,2,7,456,1,2006,0,0,0
1,2,14,3,7,456,1,2006,0,0,0
1,2,14,1,7,456,3,2006,0,0,0
1,2,14,2,7,456,3,2006,0,0,0
