population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,128,1,1,456,1,2015,0,0,0
1,2,128,2,1,456,1,2015,0,0,0
1,2,128,3,1,456,1,2015,0,0,0
1,2,128,1,1,456,3,2015,0,0,0
1,2,128,2,1,456,3,2015,0,0,0
1,2,128,3,1,456,3,2015,0,0,0
1,2,128,1,6,456,1,2015,0,0,0
1,2,128,2,6,456,1,2015,0,0,0
1,2,128,3,6,456,1,2015,0,0,0
1,2,128,1,6,456,3,2015,0,0,0
1,2,128,2,6,456,3,2015,0,0,0
1,2,128,3,6,456,3,2015,0,0,0
1,2,128,1,7,456,1,2015,0,0,0
1,2,128,2,7,456,1,2015,0,0,0
1,2,128,3,7,456,1,2015,0,0,0
1,2,128,1,7,456,3,2015,0,0,0
1,2,128,2,7,456,3,2015,0,0,0
1,2,128,3,7,456,3,2015,0,0,0
1,2,128,1,8,456,1,2015,17.97109244181425,21.742045475437944,14.936605980509523
1,2,128,2,8,456,1,2015,21.478774366779483,26.198860057418432,17.48025001770168
1,2,128,3,8,456,1,2015,39.44986680859374,45.26360670234875,34.744350603063175
1,2,128,1,8,456,3,2015,2.1322785086940264,2.5797038467431257,1.7722352732973785
1,2,128,2,8,456,3,2015,2.4699029361117524,3.01267848312059,2.0101016987945766
1,2,128,3,8,456,3,2015,2.3037335144591005,2.643235482934027,2.028947912821789
1,2,152,1,1,456,1,2015,0,0,0
1,2,152,2,1,456,1,2015,0,0,0
1,2,152,3,1,456,1,2015,0,0,0
1,2,152,1,1,456,3,2015,0,0,0
1,2,152,2,1,456,3,2015,0,0,0
1,2,152,3,1,456,3,2015,0,0,0
1,2,152,1,6,456,1,2015,0,0,0
1,2,152,2,6,456,1,2015,0,0,0
1,2,152,3,6,456,1,2015,0,0,0
1,2,152,1,6,456,3,2015,0,0,0
1,2,152,2,6,456,3,2015,0,0,0
1,2,152,3,6,456,3,2015,0,0,0
1,2,152,1,7,456,1,2015,0,0,0
1,2,152,2,7,456,1,2015,0,0,0
1,2,152,3,7,456,1,2015,0,0,0
1,2,152,1,7,456,3,2015,0,0,0
1,2,152,2,7,456,3,2015,0,0,0
1,2,152,3,7,456,3,2015,0,0,0
1,2,152,1,8,456,1,2015,74.31371413711175,108.5943956637128,51.44045846162976
1,2,152,2,8,456,1,2015,42.42900201623619,57.507650107483414,29.706532505341745
1,2,152,3,8,456,1,2015,116.74271615334786,154.05295310220583,89.74109784438261
1,2,152,1,8,456,3,2015,5.067893396533439,7.40569660761757,3.5080302845764684
1,2,152,2,8,456,3,2015,3.529651304098429,4.784037864473935,2.471274275025317
1,2,152,3,8,456,3,2015,4.374948285652252,5.77315420851491,3.3630591706562196
1,2,25,1,1,456,1,2015,0,0,0
1,2,25,2,1,456,1,2015,0,0,0
1,2,25,3,1,456,1,2015,0,0,0
1,2,25,1,1,456,3,2015,0,0,0
1,2,25,2,1,456,3,2015,0,0,0
1,2,25,3,1,456,3,2015,0,0,0
1,2,25,1,6,456,1,2015,0,0,0
