population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,7,1,1,456,1,2003,0,0,0
1,2,7,2,1,456,1,2003,0,0,0
1,2,7,3,1,456,1,2003,0,0,0
1,2,7,1,1,456,3,2003,0,0,0
1,2,7,2,1,456,3,2003,0,0,0
1,2,7,3,1,456,3,2003,0,0,0
1,2,7,1,6,456,1,2003,0,0,0
1,2,7,2,6,456,1,2003,0,0,0
1,2,7,3,6,456,1,2003,0,0,0
1,2,7,1,6,456,3,2003,0,0,0
1,2,7,2,6,456,3,2003,0,0,0
1,2,7,3,6,456,3,2003,0,0,0
1,2,7,1,7,456,1,2003,0,0,0
1,2,7,2,7,456,1,2003,0,0,0
1,2,7,3,7,456,1,2003,0,0,0
1,2,7,1,7,456,3,2003,0,0,0
1,2,7,2,7,456,3,2003,0,0,0
1,2,7,3,7,456,3,2003,0,0,0
1,2,7,1,8,456,1,2003,39.394730831189385,63.01262363201295,21.900793931790872
1,2,7,2,8,456,1,2003,17.77034463920044,26.222651595097304,11.265408529726852
1,2,7,3,8,456,1,2003,57.165075470389795,83.96361277704523,36.94861507493831
1,2,7,1,8,456,3,2003,4.037066851786618,6.457365458314144,2.2443348982052957
1,2,7,2,8,456,3,2003,1.879553822159105,2.773546942020889,1.1915324148257254
1,2,7,3,8,456,3,2003,2.975362468112943,4.370188967447283,1.9231238940577922
1,2,157,1,1,456,1,2003,0,0,0
1,2,157,2,1,456,1,2003,0,0,0
1,2,157,3,1,456,1,2003,0,0,0
1,2,157,1,1,456,3,2003,0,0,0
1,2,157,2,1,456,3,2003,0,0,0
1,2,157,3,1,456,3,2003,0,0,0
1,2,157,1,6,456,1,2003,0,0,0
1,2,157,2,6,456,1,2003,0,0,0
1,2,157,3,6,456,1,2003,0,0,0
1,2,157,1,6,456,3,2003,0,0,0
1,2,157,2,6,456,3,2003,0,0,0
1,2,157,3,6,456,3,2003,0,0,0
1,2,157,1,7,456,1,2003,0,0,0
1,2,157,2,7,456,1,2003,0,0,0
1,2,157,3,7,456,1,2003,0,0,0
1,2,157,1,7,456,3,2003,0,0,0
1,2,157,2,7,456,3,2003,0,0,0
1,2,157,3,7,456,3,2003,0,0,0
1,2,157,1,8,456,1,2003,13.11141201692185,25.1865249204119,7.032432666369606
1,2,157,2,8,456,1,2003,5.310818445393713,8.316277176020328,3.2572511861801994
1,2,157,3,8,456,1,2003,18.42223046231555,31.172225284641076,11.8001560945383
1,2,157,1,8,456,3,2003,1.0696982524049725,2.054849748962741,0.5737430052279971
1,2,157,2,8,456,3,2003,0.46297246065019604,0.7249743796025713,0.2839520145768836
1,2,157,3,8,456,3,2003,0.7763840229591743,1.3137181038195176,0.4973042042311056
1,2,20,1,1,456,1,2003,0,0,0
1,2,20,2,1,456,1,2003,0,0,0
1,2,20,3,1,456,1,2003,0,0,0
1,2,20,1,1,456,3,2003,0,0,0
1,2,20,2,1,456,3,2003,0,0,0
1,2,20,3,1,456,3,2003,0,0,0
1,2,20,1,6,456,1,2003,0,0,0
1,2,20,2,6,456,1,2003,0,0,0
1,2,20,3,6,456,1,2003,0,0,0
1,2,20,1,6,456,3,2003,0,0,0
1,2,20,2,6,456,3,2003,0,0,0
1,2,20,3,6,456,3,2003,0,0,0
1,2,20,1,7,456,1,2003,0,0,0
1,2,20,2,7,456,1,2003,0,0,0
1,2,20,3,7,456,1,2003,0,0,0
1,2,20,1,7,456,3,2003,0,0,0
1,2,20,2,7,456,3,2003,0,0,0
