population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,213,1,1,456,1,2005,0,0,0
1,2,213,2,1,456,1,2005,0,0,0
1,2,213,3,1,456,1,2005,0,0,0
1,2,213,1,1,456,3,2005,0,0,0
1,2,213,2,1,456,3,2005,0,0,0
1,2,213,3,1,456,3,2005,0,0,0
1,2,213,1,6,456,1,2005,0,0,0
1,2,213,2,6,456,1,2005,0,0,0
1,2,213,3,6,456,1,2005,0,0,0
1,2,213,1,6,456,3,2005,0,0,0
1,2,213,2,6,456,3,2005,0,0,0
1,2,213,3,6,456,3,2005,0,0,0
1,2,213,1,7,456,1,2005,0,0,0
1,2,213,2,7,456,1,2005,0,0,0
1,2,213,3,7,456,1,2005,0,0,0
1,2,213,1,7,456,3,2005,0,0,0
1,2,213,2,7,456,3,2005,0,0,0
1,2,213,3,7,456,3,2005,0,0,0
1,2,213,1,8,456,1,2005,10.143211803219153,15.580176185009762,6.111873204008111
1,2,213,2,8,456,1,2005,13.46384613893985,20.09915457654436,8.612066083426777
1,2,213,3,8,456,1,2005,23.607057942159024,33.04327835219391,16.990566034018308
1,2,213,1,8,456,3,2005,1.6381186033593438,2.5161829356832244,0.987061434888076
1,2,213,2,8,456,3,2005,2.013710832800605,3.0061161486288466,1.2880577055046996
1,2,213,3,8,456,3,2005,1.8331199699358796,2.5658552441379276,1.319340426654824
1,2,215,1,1,456,1,2005,0,0,0
1,2,215,2,1,456,1,2005,0,0,0
1,2,215,3,1,456,1,2005,0,0,0
1,2,215,1,1,456,3,2005,0,0,0
1,2,215,2,1,456,3,2005,0,0,0
1,2,215,3,1,456,3,2005,0,0,0
1,2,215,1,6,456,1,2005,0,0,0
1,2,215,2,6,456,1,2005,0,0,0
1,2,215,3,6,456,1,2005,0,0,0
1,2,215,1,6,456,3,2005,0,0,0
1,2,215,2,6,456,3,2005,0,0,0
1,2,215,3,6,456,3,2005,0,0,0
1,2,215,1,7,456,1,2005,0,0,0
1,2,215,2,7,456,1,2005,0,0,0
1,2,215,3,7,456,1,2005,0,0,0
1,2,215,1,7,456,3,2005,0,0,0
1,2,215,2,7,456,3,2005,0,0,0
1,2,215,3,7,456,3,2005,0,0,0
1,2,215,1,8,456,1,2005,0.018346315677325763,0.026261662570201114,0.010793528978393708
1,2,215,2,8,456,1,2005,0.009299416960797415,0.013447969480442225,0.006238950158354859
1,2,215,3,8,456,1,2005,0.027645732638123192,0.036451897541140046,0.01922840285699101
1,2,215,1,8,456,3,2005,0.1996225043826861,0.28574777321616196,0.11744217878344702
1,2,215,2,8,456,3,2005,0.10336879686213371,0.14948253544196446,0.06934980701162789
1,2,215,3,8,456,3,2005,0.15200943600289607,0.2004299346664093,0.10572693846778469
1,2,85,1,1,456,1,2005,0,0,0
