population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,53,1,1,456,1,2004,0,0,0
1,2,53,2,1,456,1,2004,0,0,0
1,2,53,3,1,456,1,2004,0,0,0
1,2,53,1,1,456,3,2004,0,0,0
1,2,53,2,1,456,3,2004,0,0,0
1,2,53,3,1,456,3,2004,0,0,0
1,2,53,1,6,456,1,2004,0,0,0
1,2,53,2,6,456,1,2004,0,0,0
1,2,53,3,6,456,1,2004,0,0,0
1,2,53,1,6,456,3,2004,0,0,0
1,2,53,2,6,456,3,2004,0,0,0
1,2,53,3,6,456,3,2004,0,0,0
1,2,53,1,7,456,1,2004,0,0,0
1,2,53,2,7,456,1,2004,0,0,0
1,2,53,3,7,456,1,2004,0,0,0
1,2,53,1,7,456,3,2004,0,0,0
1,2,53,2,7,456,3,2004,0,0,0
1,2,53,3,7,456,3,2004,0,0,0
1,2,53,1,8,456,1,2004,7.373273286848829,10.109433243348233,4.721162773575468
1,2,53,2,8,456,1,2004,3.2220433450688035,4.428720230393786,2.1498445777403252
1,2,53,3,8,456,1,2004,10.595316631917635,13.3986421126572,7.956479898886751
1,2,53,1,8,456,3,2004,2.217795749466226,3.0408011753206483,1.4200714288522909
1,2,53,2,8,456,3,2004,0.9945504667119994,1.3670163000184457,0.6635940920603113
1,2,53,3,8,456,3,2004,1.6140833250027917,2.041140020919412,1.2120847329683495
1,2,40,1,1,456,1,2004,0,0,0
1,2,40,2,1,456,1,2004,0,0,0
1,2,40,3,1,456,1,2004,0,0,0
1,2,40,1,1,456,3,2004,0,0,0
1,2,40,2,1,456,3,2004,0,0,0
1,2,40,3,1,456,3,2004,0,0,0
1,2,40,1,6,456,1,2004,0,0,0
1,2,40,2,6,456,1,2004,0,0,0
1,2,40,3,6,456,1,2004,0,0,0
1,2,40,1,6,456,3,2004,0,0,0
1,2,40,2,6,456,3,2004,0,0,0
1,2,40,3,6,456,3,2004,0,0,0
1,2,40,1,7,456,1,2004,0,0,0
1,2,40,2,7,456,1,2004,0,0,0
1,2,40,3,7,456,1,2004,0,0,0
1,2,40,1,7,456,3,2004,0,0,0
1,2,40,2,7,456,3,2004,0,0,0
1,2,40,3,7,456,3,2004,0,0,0
1,2,40,1,8,456,1,2004,6.565630520429561,8.063243181168387,5.218595855709567
1,2,40,2,8,456,1,2004,2.4824655494231984,3.077610030312638,1.9425299562358365
1,2,40,3,8,456,1,2004,9.048096069852765,10.622058373525775,7.666211816053788
1,2,40,1,8,456,3,2004,2.538525902294862,3.1175606985814968,2.017710364923281
1,2,40,2,8,456,3,2004,1.0724332831079222,1.3295376565048136,0.8391793308009957
1,2,40,3,8,456,3,2004,1.8461010814913519,2.1672397485219554,1.5641524819473953
1,2,6,1,1,456,1,2004,0,0,0
1,2,6,2,1,456,1,2004,0,0,0
1,2,6,3,1,456,1,2004,0,0,0
1,2,6,1,1,456,3,2004,0,0,0
1,2,6,2,1,456,3,2004,0,0,0
1,2,6,3,1,456,3,2004,0,0,0
1,2,6,1,6,456,1,2004,0,0,0
1,2,6,2,6,456,1,2004,0,0,0
1,2,6,3,6,456,1,2004,0,0,0
1,2,6,1,6,456,3,2004,0,0,0
1,2,6,2,6,456,3,2004,0,0,0
1,2,6,3,6,456,3,2004,0,0,0
1,2,6,1,7,456,1,2004,0,0,0
1,2,6,2,7,456,1,2004,0,0,0
1,2,6,3,7,456,1,2004,0,0,0
1,2,6,1,7,456,3,2004,0,0,0
1,2,6,2,7,456,3,2004,0,0,0
1,2,6,3,7,456,3,2004,0,0,0
1,2,6,1,8,456,1,2004,2800.3741852373214,3555.4067331681777,2113.519801670912
1,2,6,2,8,456,1,2004,1503.5413132903986,1838.3109791947331,1183.5288753293105
1,2,6,3,8,456,1,2004,4303.915498527724,5258.3770185549865,3541.4189746163465
1,2,63,1,1,456,1,2004,0,0,0
1,2,63,2,1,456,1,2004,0,0,0
1,2,63,3,1,456,1,2004,0,0,0
1,2,63,1,1,456,3,2004,0,0,0
1,2,63,2,1,456,3,2004,0,0,0
1,2,63,3,1,456,3,2004,0,0,0
1,2,63,1,6,456,1,2004,0,0,0
1,2,63,2,6,456,1,2004,0,0,0
1,2,63,3,6,456,1,2004,0,0,0
1,2,63,1,6,456,3,2004,0,0,0
1,2,63,2,6,456,3,2004,0,0,0
1,2,63,3,6,456,3,2004,0,0,0
1,2,63,1,7,456,1,2004,0,0,0
1,2,63,2,7,456,1,2004,0,0,0
1,2,63,3,7,456,1,2004,0,0,0
1,2,63,1,7,456,3,2004,0,0,0
1,2,63,2,7,456,3,2004,0,0,0
1,2,63,3,7,456,3,2004,0,0,0
1,2,63,1,8,456,1,2004,54.06087562712937,63.911056937614525,45.48180279956284
1,2,63,2,8,456,1,2004,24.10075193801112,28.584816061740845,19.655546543946237
1,2,63,3,8,456,1,2004,78.16162756514046,89.55839297271146,68.9255539534284
1,2,63,1,8,456,3,2004,2.748753494391102,3.2495911146385006,2.3125460497307873
1,2,63,2,8,456,3,2004,1.2836108368960877,1.5224329830830927,1.0468583143720331
1,2,63,3,8,456,3,2004,2.0331737599841126,2.3296313069569736,1.7929210541795346
1,2,30,1,1,456,1,2004,0,0,0
1,2,30,2,1,456,1,2004,0,0,0
1,2,30,3,1,456,1,2004,0,0,0
1,2,30,1,1,456,3,2004,0,0,0
1,2,30,2,1,456,3,2004,0,0,0
1,2,30,3,1,456,3,2004,0,0,0
1,2,30,1,6,456,1,2004,0,0,0
1,2,30,2,6,456,1,2004,0,0,0
1,2,30,3,6,456,1,2004,0,0,0
1,2,30,1,6,456,3,2004,0,0,0
1,2,30,2,6,456,3,2004,0,0,0
1,2,30,3,6,456,3,2004,0,0,0
1,2,30,1,7,456,1,2004,0,0,0
1,2,30,2,7,456,1,2004,0,0,0
1,2,30,3,7,456,1,2004,0,0,0
1,2,30,1,7,456,3,2004,0,0,0
1,2,30,2,7,456,3,2004,0,0,0
1,2,30,3,7,456,3,2004,0,0,0
1,2,30,1,8,456,1,2004,0.006265172803188377,0.010035194654711543,0.003620734714325121
1,2,30,2,8,456,1,2004,0.015372803460661427,0.02287239284666416,0.009947833986729972
1,2,30,3,8,456,1,2004,0.0216379762638498,0.03156851387451902,0.014698044156885122
1,2,30,1,8,456,3,2004,0.054951388851070364,0.08801798465743861,0.03175720885339264
1,2,30,2,8,456,3,2004,0.140776359867311,0.20945380682502823,0.0910972329022355
1,2,30,3,8,456,3,2004,0.09693861418032539,0.14142764320528825,0.06584756422485195
1,2,99,1,1,456,1,2004,0,0,0
1,2,99,2,1,456,1,2004,0,0,0
1,2,99,3,1,456,1,2004,0,0,0
1,2,99,1,1,456,3,2004,0,0,0
1,2,99,2,1,456,3,2004,0,0,0
1,2,99,3,1,456,3,2004,0,0,0
1,2,99,1,6,456,1,2004,0,0,0
1,2,99,2,6,456,1,2004,0,0,0
1,2,99,3,6,456,1,2004,0,0,0
1,2,99,1,6,456,3,2004,0,0,0
1,2,99,2,6,456,3,2004,0,0,0
1,2,99,3,6,456,3,2004,0,0,0
1,2,99,1,7,456,1,2004,0,0,0
1,2,99,2,7,456,1,2004,0,0,0
1,2,99,3,7,456,1,2004,0,0,0
1,2,99,1,7,456,3,2004,0,0,0
1,2,99,2,7,456,3,2004,0,0,0
