population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,6,1,1,456,1,2012,0,0,0
1,2,6,2,1,456,1,2012,0,0,0
1,2,6,3,1,456,1,2012,0,0,0
1,2,6,1,1,456,3,2012,0,0,0
1,2,6,2,1,456,3,2012,0,0,0
1,2,6,3,1,456,3,2012,0,0,0
1,2,6,1,6,456,1,2012,0,0,0
1,2,6,2,6,456,1,2012,0,0,0
1,2,6,3,6,456,1,2012,0,0,0
1,2,6,1,6,456,3,2012,0,0,0
1,2,6,2,6,456,3,2012,0,0,0
1,2,6,3,6,456,3,2012,0,0,0
1,2,6,1,7,456,1,2012,0,0,0
1,2,6,2,7,456,1,2012,0,0,0
1,2,6,3,7,456,1,2012,0,0,0
1,2,6,1,7,456,3,2012,0,0,0
1,2,6,2,7,456,3,2012,0,0,0
1,2,6,3,7,456,3,2012,0,0,0
1,2,6,1,8,456,1,2012,1560.3972546158889,1913.1329617266606,1267.1468584540187
1,2,6,2,8,456,1,2012,703.4908516848976,890.0570352126573,551.5375555984274
1,2,6,3,8,456,1,2012,2263.8881063007875,2642.721079146607,1921.0623222945285
1,2,89,1,1,456,1,2012,0,0,0
1,2,89,2,1,456,1,2012,0,0,0
1,2,89,3,1,456,1,2012,0,0,0
1,2,89,1,1,456,3,2012,0,0,0
1,2,89,2,1,456,3,2012,0,0,0
1,2,89,3,1,456,3,2012,0,0,0
1,2,89,1,6,456,1,2012,0,0,0
1,2,89,2,6,456,1,2012,0,0,0
1,2,89,3,6,456,1,2012,0,0,0
1,2,89,1,6,456,3,2012,0,0,0
1,2,89,2,6,456,3,2012,0,0,0
1,2,89,3,6,456,3,2012,0,0,0
1,2,89,1,7,456,1,2012,0,0,0
1,2,89,2,7,456,1,2012,0,0,0
1,2,89,3,7,456,1,2012,0,0,0
1,2,89,1,7,456,3,2012,0,0,0
1,2,89,2,7,456,3,2012,0,0,0
1,2,89,3,7,456,3,2012,0,0,0
1,2,89,1,8,456,1,2012,7.433065392084247,8.911572384543902,6.3803562766101285
1,2,89,2,8,456,1,2012,8.071667070330669,9.566602237460893,6.6799743907979
1,2,89,3,8,456,1,2012,15.504732462414914,17.492062916059552,13.731821804999203
1,2,89,1,8,456,3,2012,1.4564858069750846,1.746194606298197,1.2502107636808106
1,2,89,2,8,456,3,2012,1.658386511509923,1.9655325192861128,1.3724524723833942
1,2,89,3,8,456,3,2012,1.5550442400319058,1.7543631758775577,1.377230497512411
1,2,53,1,1,456,1,2012,0,0,0
1,2,53,2,1,456,1,2012,0,0,0
1,2,53,3,1,456,1,2012,0,0,0
1,2,53,1,1,456,3,2012,0,0,0
1,2,53,2,1,456,3,2012,0,0,0
1,2,53,3,1,456,3,2012,0,0,0
1,2,53,1,6,456,1,2012,0,0,0
1,2,53,2,6,456,1,2012,0,0,0
1,2,53,3,6,456,1,2012,0,0,0
1,2,53,1,6,456,3,2012,0,0,0
1,2,53,2,6,456,3,2012,0,0,0
1,2,53,3,6,456,3,2012,0,0,0
1,2,53,1,7,456,1,2012,0,0,0
1,2,53,2,7,456,1,2012,0,0,0
1,2,53,3,7,456,1,2012,0,0,0
1,2,53,1,7,456,3,2012,0,0,0
1,2,53,2,7,456,3,2012,0,0,0
1,2,53,3,7,456,3,2012,0,0,0
1,2,53,1,8,456,1,2012,5.604990514537199,8.330366919561246,3.88803057071129
1,2,53,2,8,456,1,2012,3.0596074011737264,4.285331538233118,2.15004376461823
1,2,53,3,8,456,1,2012,8.66459791571092,11.485762793208618,6.5414028718024415
1,2,53,1,8,456,3,2012,1.843331722771559,2.739635252785427,1.2786694413682698
1,2,53,2,8,456,3,2012,1.0706467036103846,1.4995636641246273,0.7523636098943606
1,2,53,3,8,456,3,2012,1.4689733754215093,1.9472663248501239,1.1090124146626563
1,2,22,1,1,456,1,2012,0,0,0
1,2,22,2,1,456,1,2012,0,0,0
1,2,22,3,1,456,1,2012,0,0,0
1,2,22,1,1,456,3,2012,0,0,0
1,2,22,2,1,456,3,2012,0,0,0
1,2,22,3,1,456,3,2012,0,0,0
1,2,22,1,6,456,1,2012,0,0,0
1,2,22,2,6,456,1,2012,0,0,0
1,2,22,3,6,456,1,2012,0,0,0
1,2,22,1,6,456,3,2012,0,0,0
1,2,22,2,6,456,3,2012,0,0,0
1,2,22,3,6,456,3,2012,0,0,0
1,2,22,1,7,456,1,2012,0,0,0
1,2,22,2,7,456,1,2012,0,0,0
1,2,22,3,7,456,1,2012,0,0,0
1,2,22,1,7,456,3,2012,0,0,0
1,2,22,2,7,456,3,2012,0,0,0
1,2,22,3,7,456,3,2012,0,0,0
1,2,22,1,8,456,1,2012,0.07398310396329215,0.1054423693512298,0.053747314385850155
1,2,22,2,8,456,1,2012,0.2930820102859063,0.41659161543622397,0.2086695782794531
1,2,22,3,8,456,1,2012,0.36706511424919847,0.48511392097907224,0.279592148492952
1,2,22,1,8,456,3,2012,0.1791331323755333,0.2553045343482128,0.13013680512089548
1,2,22,2,8,456,3,2012,0.7448639107445281,1.058761878815078,0.5303308721644836
1,2,22,3,8,456,3,2012,0.4551465260758912,0.6015224746603967,0.34668343616622965
1,2,63,1,1,456,1,2012,0,0,0
1,2,63,2,1,456,1,2012,0,0,0
1,2,63,3,1,456,1,2012,0,0,0
1,2,63,1,1,456,3,2012,0,0,0
1,2,63,2,1,456,3,2012,0,0,0
1,2,63,3,1,456,3,2012,0,0,0
1,2,63,1,6,456,1,2012,0,0,0
1,2,63,2,6,456,1,2012,0,0,0
1,2,63,3,6,456,1,2012,0,0,0
1,2,63,1,6,456,3,2012,0,0,0
1,2,63,2,6,456,3,2012,0,0,0
1,2,63,3,6,456,3,2012,0,0,0
1,2,63,1,7,456,1,2012,0,0,0
1,2,63,2,7,456,1,2012,0,0,0
1,2,63,3,7,456,1,2012,0,0,0
1,2,63,1,7,456,3,2012,0,0,0
1,2,63,2,7,456,3,2012,0,0,0
1,2,63,3,7,456,3,2012,0,0,0
1,2,63,1,8,456,1,2012,37.923133697266415,43.9921205748804,32.175073489148545
1,2,63,2,8,456,1,2012,19.571106384689543,24.260388708883667,16.546413945159436
1,2,63,3,8,456,1,2012,57.494240081955994,64.72811394193468,51.02641537794505
1,2,63,1,8,456,3,2012,2.9655104139005384,3.4400926024681255,2.5160240253817117
1,2,63,2,8,456,3,2012,1.6201122122271108,2.008294842819263,1.3697256953285435
1,2,63,3,8,456,3,2012,2.311962336336485,2.602851369502932,2.0518777245147706
1,2,40,1,1,456,1,2012,0,0,0
1,2,40,2,1,456,1,2012,0,0,0
1,2,40,3,1,456,1,2012,0,0,0
1,2,40,1,1,456,3,2012,0,0,0
1,2,40,2,1,456,3,2012,0,0,0
1,2,40,3,1,456,3,2012,0,0,0
1,2,40,1,6,456,1,2012,0,0,0
1,2,40,2,6,456,1,2012,0,0,0
1,2,40,3,6,456,1,2012,0,0,0
1,2,40,1,6,456,3,2012,0,0,0
1,2,40,2,6,456,3,2012,0,0,0
1,2,40,3,6,456,3,2012,0,0,0
1,2,40,1,7,456,1,2012,0,0,0
1,2,40,2,7,456,1,2012,0,0,0
1,2,40,3,7,456,1,2012,0,0,0
1,2,40,1,7,456,3,2012,0,0,0
1,2,40,2,7,456,3,2012,0,0,0
1,2,40,3,7,456,3,2012,0,0,0
1,2,40,1,8,456,1,2012,8.518661550359049,10.13713480476296,6.965832769539871
1,2,40,2,8,456,1,2012,4.265478084883975,5.115768223452946,3.49457037689108
1,2,40,3,8,456,1,2012,12.784139635243022,14.621736089826822,10.956513705096153
1,2,40,1,8,456,3,2012,3.288713195115634,3.9135407359486805,2.6892283498678364
1,2,40,2,8,456,3,2012,1.8334291593066747,2.1989091132297456,1.5020701315865974
1,2,40,3,8,456,3,2012,2.600106830301419,2.9738470450695087,2.2283944742261914
1,2,52,1,1,456,1,2012,0,0,0
1,2,52,2,1,456,1,2012,0,0,0
1,2,52,3,1,456,1,2012,0,0,0
1,2,52,1,1,456,3,2012,0,0,0
1,2,52,2,1,456,3,2012,0,0,0
1,2,52,3,1,456,3,2012,0,0,0
1,2,52,1,6,456,1,2012,0,0,0
1,2,52,2,6,456,1,2012,0,0,0
1,2,52,3,6,456,1,2012,0,0,0
1,2,52,1,6,456,3,2012,0,0,0
1,2,52,2,6,456,3,2012,0,0,0
1,2,52,3,6,456,3,2012,0,0,0
1,2,52,1,7,456,1,2012,0,0,0
1,2,52,2,7,456,1,2012,0,0,0
1,2,52,3,7,456,1,2012,0,0,0
1,2,52,1,7,456,3,2012,0,0,0
1,2,52,2,7,456,3,2012,0,0,0
1,2,52,3,7,456,3,2012,0,0,0
1,2,52,1,8,456,1,2012,18.394601494954667,21.85269051251635,15.600911515624336
1,2,52,2,8,456,1,2012,8.75691293526036,10.222964891747594,7.499689011545084
1,2,52,3,8,456,1,2012,27.151514430215023,30.3505577907939,24.042052154406395
1,2,52,1,8,456,3,2012,3.228312804746957,3.835218752582317,2.7380110640303066
1,2,52,2,8,456,3,2012,1.6118227315178342,1.881668496403478,1.380414458552965
1,2,52,3,8,456,3,2012,2.4393083687183754,2.7267123461800917,2.15995240973167
1,2,41,1,1,456,1,2012,0,0,0
1,2,41,2,1,456,1,2012,0,0,0
1,2,41,3,1,456,1,2012,0,0,0
1,2,41,1,1,456,3,2012,0,0,0
1,2,41,2,1,456,3,2012,0,0,0
1,2,41,3,1,456,3,2012,0,0,0
1,2,41,1,6,456,1,2012,0,0,0
1,2,41,2,6,456,1,2012,0,0,0
1,2,41,3,6,456,1,2012,0,0,0
1,2,41,1,6,456,3,2012,0,0,0
1,2,41,2,6,456,3,2012,0,0,0
1,2,41,3,6,456,3,2012,0,0,0
1,2,41,1,7,456,1,2012,0,0,0
1,2,41,2,7,456,1,2012,0,0,0
1,2,41,3,7,456,1,2012,0,0,0
1,2,41,1,7,456,3,2012,0,0,0
1,2,41,2,7,456,3,2012,0,0,0
1,2,41,3,7,456,3,2012,0,0,0
1,2,41,1,8,456,1,2012,35.44340635038722,43.09998074704032,28.955683841936626
1,2,41,2,8,456,1,2012,14.5233911893689,17.739661093665017,12.034426993247
1,2,41,3,8,456,1,2012,49.96679753975611,57.69444856725771,43.608785538645314
1,2,41,1,8,456,3,2012,2.3801707023105703,2.894341204965313,1.9444934176083262
1,2,41,2,8,456,3,2012,1.0022152388072607,1.224160283747058,0.830459357988944
1,2,41,3,8,456,3,2012,1.7005684424097482,1.963571078527631,1.4841800585644802
1,2,90,1,1,456,1,2012,0,0,0
1,2,90,2,1,456,1,2012,0,0,0
1,2,90,3,1,456,1,2012,0,0,0
1,2,90,1,1,456,3,2012,0,0,0
1,2,90,2,1,456,3,2012,0,0,0
