population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,12,1,1,456,1,1994,0,0,0
1,2,12,2,1,456,1,1994,0,0,0
1,2,12,3,1,456,1,1994,0,0,0
1,2,12,1,1,456,3,1994,0,0,0
1,2,12,2,1,456,3,1994,0,0,0
1,2,12,3,1,456,3,1994,0,0,0
1,2,12,1,6,456,1,1994,0,0,0
1,2,12,2,6,456,1,1994,0,0,0
1,2,12,3,6,456,1,1994,0,0,0
1,2,12,1,6,456,3,1994,0,0,0
1,2,12,2,6,456,3,1994,0,0,0
1,2,12,3,6,456,3,1994,0,0,0
1,2,12,1,7,456,1,1994,0,0,0
1,2,12,2,7,456,1,1994,0,0,0
1,2,12,3,7,456,1,1994,0,0,0
1,2,12,1,7,456,3,1994,0,0,0
1,2,12,2,7,456,3,1994,0,0,0
1,2,12,3,7,456,3,1994,0,0,0
1,2,12,1,8,456,1,1994,6.953040506656026,12.107081665057727,3.97753677132143
1,2,12,2,8,456,1,1994,7.104316133737899,10.980837907444414,4.201386015746366
1,2,12,3,8,456,1,1994,14.057356640393934,20.691481332559825,9.377690494846398
1,2,12,1,8,456,3,1994,2.859264448859491,4.978735295903931,1.6356627684512566
1,2,12,2,8,456,3,1994,2.8821848198198396,4.454869931173328,1.704480877375645
1,2,12,3,8,456,3,1994,2.870802214256145,4.22562733131937,1.9151178508094981
1,2,23,1,1,456,1,1994,0,0,0
1,2,23,2,1,456,1,1994,0,0,0
1,2,23,3,1,456,1,1994,0,0,0
1,2,23,1,1,456,3,1994,0,0,0
1,2,23,2,1,456,3,1994,0,0,0
1,2,23,3,1,456,3,1994,0,0,0
1,2,23,1,6,456,1,1994,0,0,0
1,2,23,2,6,456,1,1994,0,0,0
1,2,23,3,6,456,1,1994,0,0,0
1,2,23,1,6,456,3,1994,0,0,0
1,2,23,2,6,456,3,1994,0,0,0
1,2,23,3,6,456,3,1994,0,0,0
1,2,23,1,7,456,1,1994,0,0,0
1,2,23,2,7,456,1,1994,0,0,0
1,2,23,3,7,456,1,1994,0,0,0
1,2,23,1,7,456,3,1994,0,0,0
1,2,23,2,7,456,3,1994,0,0,0
1,2,23,3,7,456,3,1994,0,0,0
1,2,23,1,8,456,1,1994,0.001493024615102757,0.0021506433169263413,0.000989396075154849
1,2,23,2,8,456,1,1994,0.014934159882592793,0.020606199295392962,0.009771518932480796
1,2,23,3,8,456,1,1994,0.016427184497695552,0.022348728768417078,0.011326790519654337
1,2,23,1,8,456,3,1994,0.038109565616749545,0.05489533245169398,0.02525440924795008
1,2,23,2,8,456,3,1994,0.3890785426197573,0.53685175823843,0.2545766467829546
1,2,23,3,8,456,3,1994,0.21179814516804724,0.28814550056819105,0.1460380032321635
1,2,43,1,1,456,1,1994,0,0,0
1,2,43,2,1,456,1,1994,0,0,0
1,2,43,3,1,456,1,1994,0,0,0
1,2,43,1,1,456,3,1994,0,0,0
1,2,43,2,1,456,3,1994,0,0,0
1,2,43,3,1,456,3,1994,0,0,0
1,2,43,1,6,456,1,1994,0,0,0
1,2,43,2,6,456,1,1994,0,0,0
1,2,43,3,6,456,1,1994,0,0,0
1,2,43,1,6,456,3,1994,0,0,0
1,2,43,2,6,456,3,1994,0,0,0
1,2,43,3,6,456,3,1994,0,0,0
1,2,43,1,7,456,1,1994,0,0,0
1,2,43,2,7,456,1,1994,0,0,0
1,2,43,3,7,456,1,1994,0,0,0
1,2,43,1,7,456,3,1994,0,0,0
1,2,43,2,7,456,3,1994,0,0,0
1,2,43,3,7,456,3,1994,0,0,0
1,2,43,1,8,456,1,1994,4.441112377935955,5.999282157600215,3.119289507254876
1,2,43,2,8,456,1,1994,1.6467325415871803,2.3984577081351763,1.071107071993263
1,2,43,3,8,456,1,1994,6.0878449195231354,7.8159203088545794,4.498482142855391
1,2,43,1,8,456,3,1994,2.9200004116958183,3.9444861735774435,2.0509110939489137
1,2,43,2,8,456,3,1994,1.0571059080664484,1.539669466344228,0.6875880480776234
1,2,43,3,8,456,3,1994,1.97740565423177,2.5387054394553465,1.4611614031455458
1,2,72,1,1,456,1,1994,0,0,0
1,2,72,2,1,456,1,1994,0,0,0
1,2,72,3,1,456,1,1994,0,0,0
1,2,72,1,1,456,3,1994,0,0,0
1,2,72,2,1,456,3,1994,0,0,0
1,2,72,3,1,456,3,1994,0,0,0
1,2,72,1,6,456,1,1994,0,0,0
1,2,72,2,6,456,1,1994,0,0,0
1,2,72,3,6,456,1,1994,0,0,0
1,2,72,1,6,456,3,1994,0,0,0
1,2,72,2,6,456,3,1994,0,0,0
1,2,72,3,6,456,3,1994,0,0,0
1,2,72,1,7,456,1,1994,0,0,0
1,2,72,2,7,456,1,1994,0,0,0
1,2,72,3,7,456,1,1994,0,0,0
1,2,72,1,7,456,3,1994,0,0,0
1,2,72,2,7,456,3,1994,0,0,0
1,2,72,3,7,456,3,1994,0,0,0
1,2,72,1,8,456,1,1994,0.6040627609883895,0.7232290804763701,0.5094425044809476
1,2,72,2,8,456,1,1994,5.40566784646915,6.477927402788342,4.519885422203992
1,2,72,3,8,456,1,1994,6.009730607457538,7.1400420128227875,5.103840921471864
1,2,72,1,8,456,3,1994,0.4376678666040156,0.5240086778402823,0.36911166933839235
1,2,72,2,8,456,3,1994,4.062220364998609,4.867995845467548,3.3965776534957066
1,2,72,3,8,456,3,1994,2.2168742149939598,2.6338243868300104,1.8827089058204376
1,2,26,1,1,456,1,1994,0,0,0
1,2,26,2,1,456,1,1994,0,0,0
1,2,26,3,1,456,1,1994,0,0,0
1,2,26,1,1,456,3,1994,0,0,0
1,2,26,2,1,456,3,1994,0,0,0
