population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,79,1,1,456,1,2009,0,0,0
1,2,79,2,1,456,1,2009,0,0,0
1,2,79,3,1,456,1,2009,0,0,0
1,2,79,1,1,456,3,2009,0,0,0
1,2,79,2,1,456,3,2009,0,0,0
1,2,79,3,1,456,3,2009,0,0,0
1,2,79,1,6,456,1,2009,0,0,0
1,2,79,2,6,456,1,2009,0,0,0
1,2,79,3,6,456,1,2009,0,0,0
1,2,79,1,6,456,3,2009,0,0,0
1,2,79,2,6,456,3,2009,0,0,0
1,2,79,3,6,456,3,2009,0,0,0
1,2,79,1,7,456,1,2009,0,0,0
1,2,79,2,7,456,1,2009,0,0,0
1,2,79,3,7,456,1,2009,0,0,0
1,2,79,1,7,456,3,2009,0,0,0
1,2,79,2,7,456,3,2009,0,0,0
1,2,79,3,7,456,3,2009,0,0,0
1,2,79,1,8,456,1,2009,3.8637419502256924,4.438696992276398,3.2668820157585063
1,2,79,2,8,456,1,2009,3.77549062467445,4.420617923721512,3.220113337531437
1,2,79,3,8,456,1,2009,7.6392325749001415,8.492791129413817,6.8038144841659385
1,2,79,1,8,456,3,2009,2.2653742484792736,2.6024796667691534,1.9154256383211838
1,2,79,2,8,456,3,2009,2.30151653036316,2.6947822779303054,1.9629618538942943
1,2,79,3,8,456,3,2009,2.283093642227442,2.5381917937723926,2.0334170270889125
1,2,125,1,1,456,1,2009,0,0,0
1,2,125,2,1,456,1,2009,0,0,0
1,2,125,3,1,456,1,2009,0,0,0
1,2,125,1,1,456,3,2009,0,0,0
1,2,125,2,1,456,3,2009,0,0,0
1,2,125,3,1,456,3,2009,0,0,0
1,2,125,1,6,456,1,2009,0,0,0
1,2,125,2,6,456,1,2009,0,0,0
1,2,125,3,6,456,1,2009,0,0,0
1,2,125,1,6,456,3,2009,0,0,0
1,2,125,2,6,456,3,2009,0,0,0
1,2,125,3,6,456,3,2009,0,0,0
1,2,125,1,7,456,1,2009,0,0,0
1,2,125,2,7,456,1,2009,0,0,0
1,2,125,3,7,456,1,2009,0,0,0
1,2,125,1,7,456,3,2009,0,0,0
1,2,125,2,7,456,3,2009,0,0,0
1,2,125,3,7,456,3,2009,0,0,0
1,2,125,1,8,456,1,2009,71.12042138322639,83.59468567683561,60.45512605615174
1,2,125,2,8,456,1,2009,58.1976589521575,68.3999562807113,48.89917996761987
1,2,125,3,8,456,1,2009,129.31808033538385,144.61531054489961,115.82274989149587
1,2,125,1,8,456,3,2009,3.1777208725192616,3.7350816030122433,2.701186412890476
1,2,125,2,8,456,3,2009,2.6698895560625826,3.137932559437398,2.243310336639117
1,2,125,3,8,456,3,2009,2.927156993216623,3.2734147962129163,2.621685780048703
1,2,12,1,1,456,1,2009,0,0,0
1,2,12,2,1,456,1,2009,0,0,0
1,2,12,3,1,456,1,2009,0,0,0
1,2,12,1,1,456,3,2009,0,0,0
1,2,12,2,1,456,3,2009,0,0,0
1,2,12,3,1,456,3,2009,0,0,0
1,2,12,1,6,456,1,2009,0,0,0
1,2,12,2,6,456,1,2009,0,0,0
1,2,12,3,6,456,1,2009,0,0,0
1,2,12,1,6,456,3,2009,0,0,0
1,2,12,2,6,456,3,2009,0,0,0
1,2,12,3,6,456,3,2009,0,0,0
1,2,12,1,7,456,1,2009,0,0,0
1,2,12,2,7,456,1,2009,0,0,0
1,2,12,3,7,456,1,2009,0,0,0
1,2,12,1,7,456,3,2009,0,0,0
1,2,12,2,7,456,3,2009,0,0,0
1,2,12,3,7,456,3,2009,0,0,0
1,2,12,1,8,456,1,2009,6.669783117672188,10.433817399919342,4.023120632162659
1,2,12,2,8,456,1,2009,8.479701630817123,12.51484908243088,5.144587132683357
1,2,12,3,8,456,1,2009,15.149484748489318,21.339071777254098,10.888947192867597
1,2,12,1,8,456,3,2009,1.8113072607936411,2.8335028112375578,1.0925554075029948
1,2,12,2,8,456,3,2009,2.341418086984654,3.4556043683182396,1.4205251419173557
1,2,12,3,8,456,3,2009,2.0741601118609174,2.9215945122444578,1.4908374972857117
1,2,68,1,1,456,1,2009,0,0,0
1,2,68,2,1,456,1,2009,0,0,0
1,2,68,3,1,456,1,2009,0,0,0
1,2,68,1,1,456,3,2009,0,0,0
1,2,68,2,1,456,3,2009,0,0,0
1,2,68,3,1,456,3,2009,0,0,0
1,2,68,1,6,456,1,2009,0,0,0
1,2,68,2,6,456,1,2009,0,0,0
1,2,68,3,6,456,1,2009,0,0,0
1,2,68,1,6,456,3,2009,0,0,0
1,2,68,2,6,456,3,2009,0,0,0
1,2,68,3,6,456,3,2009,0,0,0
1,2,68,1,7,456,1,2009,0,0,0
1,2,68,2,7,456,1,2009,0,0,0
1,2,68,3,7,456,1,2009,0,0,0
1,2,68,1,7,456,3,2009,0,0,0
1,2,68,2,7,456,3,2009,0,0,0
1,2,68,3,7,456,3,2009,0,0,0
1,2,68,1,8,456,1,2009,25.335132679285785,36.12767357783002,16.695112376186447
1,2,68,2,8,456,1,2009,22.089628669667285,29.893940200470343,14.83874773808281
1,2,68,3,8,456,1,2009,47.42476134895303,59.61409731870882,35.496003318215934
1,2,68,1,8,456,3,2009,1.3609949594063262,1.9407666917294355,0.8968559224988626
1,2,68,2,8,456,3,2009,1.3421464709810416,1.8163295971957099,0.9015893027569728
1,2,68,3,8,456,3,2009,1.3521502245305614,1.6996862563328081,1.012043655918635
1,2,127,1,1,456,1,2009,0,0,0
1,2,127,2,1,456,1,2009,0,0,0
1,2,127,3,1,456,1,2009,0,0,0
1,2,127,1,1,456,3,2009,0,0,0
1,2,127,2,1,456,3,2009,0,0,0
1,2,127,3,1,456,3,2009,0,0,0
1,2,127,1,6,456,1,2009,0,0,0
1,2,127,2,6,456,1,2009,0,0,0
1,2,127,3,6,456,1,2009,0,0,0
1,2,127,1,6,456,3,2009,0,0,0
1,2,127,2,6,456,3,2009,0,0,0
1,2,127,3,6,456,3,2009,0,0,0
1,2,127,1,7,456,1,2009,0,0,0
1,2,127,2,7,456,1,2009,0,0,0
1,2,127,3,7,456,1,2009,0,0,0
1,2,127,1,7,456,3,2009,0,0,0
1,2,127,2,7,456,3,2009,0,0,0
1,2,127,3,7,456,3,2009,0,0,0
1,2,127,1,8,456,1,2009,10.156724033499863,13.57296637800991,7.80424220834454
1,2,127,2,8,456,1,2009,9.425583339447682,12.246701559428208,6.934968337105658
1,2,127,3,8,456,1,2009,19.582307372947543,23.761281606640086,16.259528203297133
1,2,127,1,8,456,3,2009,3.1143094714325876,4.161816113842621,2.3929788135068875
1,2,127,2,8,456,3,2009,2.8636719905412646,3.7207815123204515,2.1069756498936996
1,2,127,3,8,456,3,2009,2.9884146193092778,3.6261590615671966,2.4813322996313905
1,2,57,1,1,456,1,2009,0,0,0
1,2,57,2,1,456,1,2009,0,0,0
1,2,57,3,1,456,1,2009,0,0,0
1,2,57,1,1,456,3,2009,0,0,0
1,2,57,2,1,456,3,2009,0,0,0
1,2,57,3,1,456,3,2009,0,0,0
1,2,57,1,6,456,1,2009,0,0,0
1,2,57,2,6,456,1,2009,0,0,0
1,2,57,3,6,456,1,2009,0,0,0
1,2,57,1,6,456,3,2009,0,0,0
1,2,57,2,6,456,3,2009,0,0,0
1,2,57,3,6,456,3,2009,0,0,0
1,2,57,1,7,456,1,2009,0,0,0
1,2,57,2,7,456,1,2009,0,0,0
1,2,57,3,7,456,1,2009,0,0,0
1,2,57,1,7,456,3,2009,0,0,0
1,2,57,2,7,456,3,2009,0,0,0
1,2,57,3,7,456,3,2009,0,0,0
1,2,57,1,8,456,1,2009,8.67292684542527,10.026781926922254,7.355004094981844
1,2,57,2,8,456,1,2009,3.596634343177102,4.321377403984641,3.017985591749217
1,2,57,3,8,456,1,2009,12.269561188602363,13.7046256612504,10.8236885786027
1,2,57,1,8,456,3,2009,2.5562569883142405,2.9552920055491527,2.1678126602433356
1,2,57,2,8,456,3,2009,1.1214906161655764,1.3474775985144114,0.9410582778008583
1,2,57,3,8,456,3,2009,1.8590708514717365,2.0765102928725345,1.6399937726036913
1,2,10,1,1,456,1,2009,0,0,0
1,2,10,2,1,456,1,2009,0,0,0
1,2,10,3,1,456,1,2009,0,0,0
1,2,10,1,1,456,3,2009,0,0,0
1,2,10,2,1,456,3,2009,0,0,0
1,2,10,3,1,456,3,2009,0,0,0
1,2,10,1,6,456,1,2009,0,0,0
1,2,10,2,6,456,1,2009,0,0,0
1,2,10,3,6,456,1,2009,0,0,0
1,2,10,1,6,456,3,2009,0,0,0
1,2,10,2,6,456,3,2009,0,0,0
1,2,10,3,6,456,3,2009,0,0,0
1,2,10,1,7,456,1,2009,0,0,0
1,2,10,2,7,456,1,2009,0,0,0
1,2,10,3,7,456,1,2009,0,0,0
1,2,10,1,7,456,3,2009,0,0,0
1,2,10,2,7,456,3,2009,0,0,0
1,2,10,3,7,456,3,2009,0,0,0
