LMIC_group,Vbar_1990,Vbar_2023,change_1990_2023_pct,annualised_drift_pct,min,max,implied_27yr_drift_pct
Low income,13513.848322415517,13652.937970224424,1.0292378935332414,0.031034430001652957,13513.848322415517,13801.798202305903,0.8413189760996476
Lower middle income,57351.027331420206,60365.162557161704,5.2555906423845,0.15533689540307982,57351.027331420206,60553.787630732375,4.279897543105027
Upper middle income,142924.1507636413,140261.04222459535,-1.8633019855755606,-0.05698012851151901,140184.61245830523,143240.98667227838,-1.5271213576053655
