model,h,n_origins,n_obs,DALY_MAPE,DALY_coverage,VLW_MAPE,VLW_coverage,mean_relative_width_pct
ARIMA,1,14,14,1.5196495765870057,50,1.5428857773917273,42.857142857142854,2.216343969580538
ARIMA,2,13,13,3.5279911946596187,46.15384615384615,3.7360094423059684,46.15384615384615,4.220951938118135
ARIMA,3,12,12,4.193774884567308,50,4.55750287801431,41.66666666666667,5.549809163114366
ARIMA,4,11,11,4.8735581502501155,54.54545454545454,5.046823329911717,54.54545454545454,6.742697597167408
ARIMA,5,10,10,5.0676759559646465,40,4.885464221354996,40,7.782879345225336
ARIMA,6,9,9,6.267036613611466,11.11111111111111,5.796529460352075,22.22222222222222,8.645731406599761
Drift,1,14,14,1.6039960549796821,64.28571428571429,1.7698444297493325,64.28571428571429,3.258492297769345
Drift,2,13,13,3.004543107399586,53.84615384615385,3.168335822322491,61.53846153846154,4.315926785024749
Drift,3,12,12,4.385796584043952,41.66666666666667,4.199513922146134,41.66666666666667,4.955525276153733
Drift,4,11,11,5.455671226786121,27.27272727272727,4.756118344526138,36.36363636363637,5.578587245929122
Drift,5,10,10,6.794944508770101,20,5.641980604687485,20,6.068619714917564
Drift,6,9,9,8.457101562109433,11.11111111111111,6.939722181766253,11.11111111111111,6.382195900254321
ETS,1,14,14,1.7219156401596356,57.14285714285714,2.013874888886803,50,2.9379098109475112
ETS,2,13,13,3.1445012043245435,53.84615384615385,3.3951017615062904,53.84615384615385,5.550339745318607
ETS,3,12,12,5.355123760972179,41.66666666666667,5.7402737198120795,41.66666666666667,8.439987378698271
ETS,4,11,11,5.8327632458268805,45.45454545454545,6.361892910614993,45.45454545454545,11.551754695047764
ETS,5,10,10,5.699910748506562,50,5.912846778266636,50,14.63395622548678
ETS,6,9,9,6.4406861294899755,55.55555555555556,6.412406352867768,55.55555555555556,17.525936999823045
Naive,1,14,14,3.2752197015428752,64.28571428571429,2.9342212882289074,64.28571428571429,7.983166805126248
Naive,2,13,13,6.634550514457454,46.15384615384615,6.040929049803065,46.15384615384615,11.113161718133949
Naive,3,12,12,9.846531879495195,25,8.941912984440641,41.66666666666667,13.469943338327111
Naive,4,11,11,12.685137538283332,0,11.490238905825867,18.181818181818183,15.573823482252479
Naive,5,10,10,15.656285169758482,0,14.227900729202222,0,17.461762206658438
Naive,6,9,9,18.742915461004092,0,17.12035652159476,0,19.080427521192142
