Year,Male,Female,Male_to_Female,Basis
1990,178.0862453606231,119.84517597003106,1.4859692425597175,Observed
2023,470.6268478895351,301.3428570273955,1.5617654008196709,Observed
2050,676.5479562410777,546.3081902695898,1.2383998048925786,Secondary direct ARIMA forecast (descriptive)
