LMIC_group,Vbar_1990,Vbar_2023,endpoint_cagr_pct,loglinear_cagr_pct,loglinear_r2,absolute_difference_pp
Low income,13513.848322415517,13652.937970224424,0.031034430001652957,0.019577125493674963,0.13160773801949016,-0.011457304507977994
Lower middle income,57351.027331420206,60365.162557161704,0.15533689540307982,0.1715897613505657,0.7870660069175858,0.016252865947485873
Upper middle income,142924.1507636413,140261.04222459535,-0.05698012851151901,-0.0774719046172545,0.8224230630783551,-0.020491776105735493
