LMIC_group,n_eligible,n_Included,n_Excluded,Excluded_countries,pct_countries_excluded,DALY_total,DALY_Included,DALY_Excluded,pct_DALYs_excluded
Low income,25,20,5,"5 (Democratic People's Republic of Korea, Syrian Arab Republic, Yemen, South Sudan and Eritrea)",20,210793.08870067255,142829.70490034792,67963.38380032465,32.24175148210531
Lower middle income,50,50,0,0,0,1467499.5918065964,1467499.5918065964,0,0
Upper middle income,53,52,1,1 (Cuba),1.8867924528301887,4882247.541198344,4858325.573486687,23921.96771165706,0.4899785910033032
All LMICs,128,122,6,6,4.6875,6560540.221705613,6468654.87019363,91885.35151198172,1.4005759953727304
