Quantity,Value_billion
"Primary: DALY-derived VLW, all LMICs (ARIMA)",1195.0592877715965
"Secondary: direct sex-specific VLW ARIMA, Male + Female",1222.8561465106675
Absolute difference,27.796858739071013
Relative difference (%),2.3259815662286734
