series,outcome,model,term,estimate,std_error,z
Lower middle income,DALY,ARIMA,ma1,-0.647695886172514,0.10320773475534156,-6.275652573016018
Lower middle income,VLW,ARIMA,ma1,-0.5594736839612042,0.12122881339231939,-4.6150223557054995
Upper middle income,DALY,ARIMA,ar1,0.8514108836176916,0.17384890910506254,4.897418614822348
Upper middle income,DALY,ARIMA,ar2,-0.9773171029358582,0.17054335654433161,-5.730607880241943
Upper middle income,DALY,ARIMA,ar3,0.20686447614048914,0.21993310314397727,0.9405790814721835
Upper middle income,DALY,ARIMA,drift,84240.64031485406,9198.660477479854,9.157924734921117
Upper middle income,VLW,ARIMA,ar1,0.6064324105315995,0.1823278653011472,3.3260544652895896
Upper middle income,VLW,ARIMA,ar2,-0.9037061110529929,0.09979443150015434,-9.055676729333292
Upper middle income,VLW,ARIMA,ma1,0.2382180785108766,0.25908588193752735,0.9194560380110463
Upper middle income,VLW,ARIMA,ma2,0.19893469494875787,0.25891912183993826,0.768327551611803
Upper middle income,VLW,ARIMA,drift,11.543356433982712,1.31719610114388,8.763582297243536
Male,VLW,ARIMA,ar1,0.43011820778851273,0.9164104025309149,0.4693510752394616
Male,VLW,ARIMA,ar2,-0.8447824750329991,0.48003782791317334,-1.75982480111088
Male,VLW,ARIMA,ar3,-0.10082654446062034,0.7814041576063449,-0.12903251598952287
Male,VLW,ARIMA,ma1,0.5362358689504463,0.9973559063411946,0.5376574856989922
Male,VLW,ARIMA,ma2,0.3456126487592532,0.6227287156249811,0.5549971281031909
Male,VLW,ARIMA,drift,8.387481081667314,1.0906196383950602,7.690564873753977
Female,VLW,ARIMA,ar1,1.004460882707151,0.13037025672733,7.704678259612434
Female,VLW,ARIMA,ar2,-0.8507802739707202,0.10372636294429502,-8.202160471274032
Female,VLW,ARIMA,ma1,-1.411206967620826,0.2296616755990279,-6.144721203221942
Female,VLW,ARIMA,ma2,0.6578109584572422,0.21585825519633003,3.0474209006226887
