model,Role,n_obs,MAPE,MASE,MAE_rel_naive,coverage_95,n_series_lowest_MAPE_of_4,n_series_beats_ETS_MAPE
ARIMA,Candidate,552,4.180488721618111,2.368489364366633,0.4173386677461484,55.072463768115945,4,8
ETS,Candidate,552,4.916615734160605,2.7885326246952595,0.5505105873803431,55.434782608695656,0,0
Drift,Candidate,552,7.071429618336656,3.943318263018461,0.6220484825066162,26.268115942028984,4,0
Naive,Candidate,552,12.678665507527834,7.000532938084895,1,22.82608695652174,0,0
