model,n_origins,n_obs,DALY_MAPE,DALY_coverage,VLW_MAPE,VLW_coverage,mean_relative_width_pct,total_nonpositive_group_draws
ARIMA,14,69,4.031210245688431,43.47826086956522,4.078217712396826,42.028985507246375,5.540709426196063,0
ETS,14,69,4.469166639198423,50.72463768115942,4.754127579086712,49.275362318840585,9.35807680413894,0
Drift,14,69,4.611888504576389,39.130434782608695,4.16746322094196,42.028985507246375,4.937429907893076,0
Naive,14,69,10.362988678713446,26.08695652173913,9.415492397773795,31.88405797101449,13.558380952601812,0
