model,origin,h,target_year,DALY_actual,DALY_point,DALY_scenario_low,DALY_scenario_high,DALY_covered,DALY_ape,VLW_actual,VLW_point,VLW_scenario_low,VLW_scenario_high,VLW_covered,VLW_ape,rel_width_DALY,n_group_draws_nonpositive
ETS,2014,2,2016,4994006.586104154,4736726.830753664,4644177.177276144,4829621.382928328,0,5.151770445525086,613.7476956742455,579.9599779324326,568.3382321047087,591.7065381092654,0,5.505147796065401,3.915028505510792,0
ETS,2014,3,2017,5230668.763601395,4836751.116341739,4706072.016878312,4966857.805663764,0,7.530923196681987,640.9996073208337,590.5553128668828,574.5425095992263,606.583407170358,0,7.869629540771693,5.3917553852284135,0
ETS,2014,4,2018,5340356.51562367,4934774.908337169,4764219.661814544,5105883.754710065,0,7.594654141534128,651.1298257189403,600.9387405162104,580.3856921437609,621.4008554181264,0,7.708306887541484,6.923600351422079,0
ETS,2014,5,2019,5409337.703633718,5030838.216769427,4814959.5568121085,5246545.381074052,0,6.9971502539032535,654.6443394892658,611.1144990378467,585.8119558615574,636.3657238075812,0,6.649387740124628,8.57880547268102,0
ETS,2014,6,2020,5543301.44389638,5124980.251464242,4865060.999632387,5385280.501261313,0,7.546426920237999,666.011942526678,621.0867418258397,591.047588750695,651.3071181588613,0,6.745404674036876,10.15066353631891,0
ETS,2015,1,2016,4994006.586104154,4913201.85578829,4848330.71090542,4977448.2906925185,0,1.6180341159481773,613.7476956742455,602.8310651140928,594.4093512861116,611.1873594030741,0,1.7786837550827839,2.627972218055404,0
ETS,2015,2,2017,5230668.763601395,5097614.700507265,4957935.983543231,5238111.472651941,1,2.54372947528264,640.9996073208337,624.1797825583453,606.1036927876174,642.3829297758158,1,2.623999230325529,5.496207649448856,0
ETS,2015,3,2018,5340356.51562367,5278339.125545812,5047694.8505259575,5507786.0751286205,1,1.1612968141063438,651.1298257189403,645.101502944624,615.2739404893111,674.9524382388854,1,0.925825010037,8.716590837749303,0
ETS,2015,4,2019,5409337.703633718,5455448.902553459,5122027.243898931,5789838.041207893,1,0.8524370532230839,654.6443394892658,665.6047666682983,622.3533830915716,708.6302208727026,1,1.6742567708724918,12.241170419475262,0
ETS,2015,5,2020,5543301.44389638,5629016.327681623,5179034.706690343,6078772.058844913,1,1.5462785968391113,666.011942526678,685.6979433077455,627.5707734764111,743.6775808936106,1,2.955802970496875,15.983917966802863,0
ETS,2015,6,2021,6029567.651407573,5799112.251094871,5227380.58720471,6371149.156478431,1,3.8220883094147466,721.6596713207388,705.3892350408721,631.6934768590914,779.4720292256933,1,2.2545857731095698,19.72316657705286,0
ETS,2016,1,2017,5230668.763601395,5257319.292899108,5185815.980550567,5327853.439422628,1,0.5095051990897425,640.9996073208337,645.7282131731773,636.3820314155582,654.9955701715979,1,0.7376924725597993,2.7017088169612724,0
ETS,2016,2,2018,5340356.51562367,5515443.569077491,5359062.979382668,5672371.391543916,0,3.2785648849770346,651.1298257189403,677.0711416003699,656.6521557907103,697.6280448618493,0,3.9840466304529407,5.680566000490374,0
ETS,2016,3,2019,5409337.703633718,5768405.349718999,5509560.8864649525,6026465.707988772,0,6.6379225287427985,654.6443394892658,707.7872104982944,673.8199632867608,741.8614393369047,0,8.117823343663074,8.96096564276641,0
ETS,2016,4,2020,5543301.44389638,6016307.884934635,5639759.499344919,6393454.866320435,0,8.532937380828761,666.011942526678,737.8889570767507,688.4688492571477,787.2552745674235,0,10.79215100518915,12.527539836563811,0
ETS,2016,5,2021,6029567.651407573,6259252.359829178,5749306.85602439,6766898.472638705,1,3.809306432907937,721.6596713207388,767.3886678009585,701.0589687475173,833.9527556583339,1,6.336642921521336,16.257398777289207,0
ETS,2016,6,2022,6384465.217175624,6497337.935801387,5850272.714154783,7147011.950462108,1,1.7679275363911438,770.5003415641659,796.2983834064564,711.5598926493574,881.6972887035771,1,3.3482193907816904,19.958008173810402,0
ETS,2017,1,2018,5340356.51562367,5462506.939656996,5391780.253752593,5532501.872114467,0,2.28730841613223,651.1298257189403,668.3566199508699,659.0655812336597,677.5843391499147,0,2.6456773367598023,2.5761361938097735,0
ETS,2017,2,2019,5409337.703633718,5689812.270989882,5534638.440776177,5845263.399420365,0,5.185007531841746,654.6443394892658,695.1675500290554,674.8483615058269,715.6520807599617,0,6.190110888517666,5.459318231428174,0
ETS,2017,3,2020,5543301.44389638,5912571.475561558,5655565.520853456,6169350.457481453,0,6.661554227251595,666.011942526678,721.442259173004,687.6434302668871,755.2146503773105,0,8.322721126596862,8.689703604457472,0
