model,Year,Group,DALY,DALY_lower_95_PI,DALY_upper_95_PI,VLW_billion,VLW_lower_95_PI_billion,VLW_upper_95_PI_billion,interval_level,simulation_draws,method
ARIMA,2028,All LMICs,7273026.5510264905,6870876.071594755,7672048.94587773,449.40740321172046,425.50176669550547,473.06175181072786,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2029,All LMICs,7286494.066497587,6839017.080101709,7733018.368934015,445.55770161371464,419.8563294101779,471.09777375090255,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2030,All LMICs,7396484.405171482,6882639.8793540355,7910892.97902303,449.21862590501814,420.180935961849,478.25478670205837,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2031,All LMICs,7658797.02631495,7076255.737006145,8239863.738054734,464.7320389681329,432.3506588253738,496.85804166820486,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2032,All LMICs,7932877.485047355,7310519.484959359,8560792.653810833,481.16113003075003,447.70422414399644,514.8224260346802,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2033,All LMICs,8088077.180221331,7415726.9003201835,8753620.37696901,488.33988100906544,453.6972900304041,522.7762921428324,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2034,All LMICs,8162069.659676233,7451352.638938699,8886837.656547518,489.19974287348754,453.3523414076844,525.651885562625,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2035,All LMICs,8285539.9828334935,7503121.206709398,9062825.398312028,493.90957059600896,455.0762575197863,532.2881672830122,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2036,All LMICs,8505909.274544235,7647477.319879425,9359705.428337913,506.1592927985755,464.7178896559907,547.7024158714173,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2037,All LMICs,8743624.97168748,7841417.857998501,9639485.009881161,519.7587720576065,476.95714263332763,561.9451418057214,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2038,All LMICs,8911643.776201496,7950687.984453021,9861094.489036122,527.9350025054656,483.7365232147775,571.567275405037,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2039,All LMICs,9023413.903441373,8006774.564465372,10050503.548202971,531.7344155566045,486.0006684367905,577.7242555795557,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
