Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Papua New Guinea,Female,Lower middle income,"1,883 (1,131<e2><80><93>2,877)",0.012 (0.007<e2><80><93>0.018),0.006 (0.003<e2><80><93>0.009),0.0248 (0.0149<e2><80><93>0.0379)
Saint Vincent and the Grenadines,Male,Upper middle income,113 (91<e2><80><93>141),0.006 (0.005<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.3149 (0.2525<e2><80><93>0.3924)
Saint Vincent and the Grenadines,Female,Upper middle income,80 (63<e2><80><93>99),0.004 (0.004<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.002),0.2225 (0.1743<e2><80><93>0.2754)
Republic of Moldova,Male,Upper middle income,"7,596 (6,411<e2><80><93>8,972)",0.360 (0.304<e2><80><93>0.425),0.159 (0.135<e2><80><93>0.188),0.8251 (0.6964<e2><80><93>0.9746)
Republic of Moldova,Female,Upper middle income,"4,304 (3,622<e2><80><93>5,060)",0.204 (0.172<e2><80><93>0.240),0.084 (0.070<e2><80><93>0.098),0.4676 (0.3935<e2><80><93>0.5497)
Dominica,Male,Upper middle income,94 (68<e2><80><93>125),0.005 (0.004<e2><80><93>0.007),0.002 (0.002<e2><80><93>0.003),0.4038 (0.2920<e2><80><93>0.5370)
Dominica,Female,Upper middle income,60 (45<e2><80><93>77),0.003 (0.003<e2><80><93>0.004),0.001 (0.001<e2><80><93>0.002),0.2573 (0.1920<e2><80><93>0.3291)
Bolivia (Plurinational State of),Male,Lower middle income,"10,365 (7,077<e2><80><93>14,404)",0.304 (0.208<e2><80><93>0.423),0.140 (0.095<e2><80><93>0.194),0.1926 (0.1315<e2><80><93>0.2677)
Bolivia (Plurinational State of),Female,Lower middle income,"7,657 (5,373<e2><80><93>10,482)",0.225 (0.158<e2><80><93>0.307),0.100 (0.070<e2><80><93>0.137),0.1423 (0.0998<e2><80><93>0.1948)
Burundi,Male,Low income,"1,953 (1,296<e2><80><93>2,886)",0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.0097 (0.0064<e2><80><93>0.0143)
Burundi,Female,Low income,"1,425 (882<e2><80><93>2,026)",0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0071 (0.0044<e2><80><93>0.0101)
Malaysia,Male,Upper middle income,"21,411 (18,290<e2><80><93>25,731)",2.988 (2.553<e2><80><93>3.591),1.262 (1.078<e2><80><93>1.517),0.2333 (0.1993<e2><80><93>0.2803)
Malaysia,Female,Upper middle income,"15,843 (11,912<e2><80><93>20,290)",2.211 (1.662<e2><80><93>2.832),0.911 (0.685<e2><80><93>1.167),0.1726 (0.1298<e2><80><93>0.2211)
