Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Bosnia and Herzegovina,Female,Upper middle income,"5,805 (4,641<e2><80><93>7,238)",0.393 (0.314<e2><80><93>0.490),0.161 (0.129<e2><80><93>0.201),0.5481 (0.4382<e2><80><93>0.6833)
Togo,Male,Low income,"1,509 (980<e2><80><93>2,144)",0.005 (0.003<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.0183 (0.0119<e2><80><93>0.0259)
Togo,Female,Low income,"1,479 (952<e2><80><93>2,149)",0.005 (0.003<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.0179 (0.0115<e2><80><93>0.0260)
Afghanistan,Male,Low income,"2,541 (1,436<e2><80><93>5,992)",0.005 (0.003<e2><80><93>0.012),0.003 (0.001<e2><80><93>0.006),0.0058 (0.0033<e2><80><93>0.0136)
Afghanistan,Female,Low income,"2,222 (1,332<e2><80><93>3,313)",0.005 (0.003<e2><80><93>0.007),0.002 (0.001<e2><80><93>0.003),0.0050 (0.0030<e2><80><93>0.0075)
Central African Republic,Male,Low income,489 (289<e2><80><93>871),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0067 (0.0040<e2><80><93>0.0120)
Central African Republic,Female,Low income,"766 (441<e2><80><93>1,130)",0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0106 (0.0061<e2><80><93>0.0156)
Georgia,Male,Upper middle income,"6,011 (5,036<e2><80><93>7,186)",0.478 (0.401<e2><80><93>0.572),0.218 (0.182<e2><80><93>0.260),0.5134 (0.4301<e2><80><93>0.6137)
Georgia,Female,Upper middle income,"3,605 (2,984<e2><80><93>4,297)",0.287 (0.237<e2><80><93>0.342),0.119 (0.098<e2><80><93>0.142),0.3079 (0.2548<e2><80><93>0.3670)
Indonesia,Male,Upper middle income,"168,536 (109,144<e2><80><93>242,062)",6.465 (4.187<e2><80><93>9.285),2.903 (1.880<e2><80><93>4.170),0.1491 (0.0966<e2><80><93>0.2142)
Indonesia,Female,Upper middle income,"115,182 (77,533<e2><80><93>160,912)",4.418 (2.974<e2><80><93>6.172),1.910 (1.286<e2><80><93>2.668),0.1019 (0.0686<e2><80><93>0.1424)
Malawi,Male,Low income,"1,455 (924<e2><80><93>2,099)",0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.002),0.0059 (0.0038<e2><80><93>0.0085)
Malawi,Female,Low income,"1,279 (866<e2><80><93>1,830)",0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.0052 (0.0035<e2><80><93>0.0074)
Jamaica,Male,Upper middle income,"2,095 (1,688<e2><80><93>2,582)",0.060 (0.048<e2><80><93>0.074),0.026 (0.021<e2><80><93>0.032),0.1663 (0.1340<e2><80><93>0.2049)
Jamaica,Female,Upper middle income,"1,678 (1,376<e2><80><93>2,053)",0.048 (0.039<e2><80><93>0.059),0.020 (0.017<e2><80><93>0.025),0.1332 (0.1092<e2><80><93>0.1630)
Guinea-Bissau,Male,Low income,243 (154<e2><80><93>348),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0124 (0.0078<e2><80><93>0.0177)
Guinea-Bissau,Female,Low income,289 (194<e2><80><93>400),0.001 (0.001<e2><80><93>0.001),0.001 (0.000<e2><80><93>0.001),0.0147 (0.0099<e2><80><93>0.0204)
Kiribati,Male,Lower middle income,8 (5<e2><80><93>11),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0070 (0.0046<e2><80><93>0.0097)
Kiribati,Female,Lower middle income,13 (9<e2><80><93>19),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0119 (0.0077<e2><80><93>0.0169)
Kazakhstan,Male,Upper middle income,"16,971 (14,787<e2><80><93>19,531)",2.571 (2.240<e2><80><93>2.959),1.154 (1.006<e2><80><93>1.328),0.3283 (0.2861<e2><80><93>0.3778)
Kazakhstan,Female,Upper middle income,"10,707 (9,090<e2><80><93>12,540)",1.622 (1.377<e2><80><93>1.900),0.676 (0.574<e2><80><93>0.792),0.2071 (0.1758<e2><80><93>0.2426)
Sudan,Male,Low income,"12,210 (6,867<e2><80><93>19,115)",0.029 (0.016<e2><80><93>0.046),0.014 (0.008<e2><80><93>0.022),0.0241 (0.0135<e2><80><93>0.0377)
Sudan,Female,Low income,"8,108 (5,364<e2><80><93>11,735)",0.019 (0.013<e2><80><93>0.028),0.009 (0.006<e2><80><93>0.013),0.0160 (0.0106<e2><80><93>0.0231)
India,Male,Lower middle income,"359,274 (251,475<e2><80><93>493,155)",7.552 (5.286<e2><80><93>10.367),3.448 (2.414<e2><80><93>4.733),0.0509 (0.0356<e2><80><93>0.0698)
India,Female,Lower middle income,"232,511 (164,167<e2><80><93>326,158)",4.888 (3.451<e2><80><93>6.856),2.236 (1.579<e2><80><93>3.137),0.0329 (0.0232<e2><80><93>0.0462)
Democratic Republic of the Congo,Male,Low income,"13,013 (8,356<e2><80><93>18,991)",0.019 (0.012<e2><80><93>0.027),0.010 (0.006<e2><80><93>0.015),0.0103 (0.0066<e2><80><93>0.0150)
Democratic Republic of the Congo,Female,Low income,"18,880 (11,688<e2><80><93>26,381)",0.027 (0.017<e2><80><93>0.038),0.014 (0.009<e2><80><93>0.020),0.0149 (0.0092<e2><80><93>0.0208)
Lao People's Democratic Republic,Male,Lower middle income,"2,755 (1,765<e2><80><93>3,958)",0.049 (0.032<e2><80><93>0.071),0.024 (0.015<e2><80><93>0.034),0.0694 (0.0445<e2><80><93>0.0997)
Lao People's Democratic Republic,Female,Lower middle income,"2,960 (1,900<e2><80><93>4,267)",0.053 (0.034<e2><80><93>0.077),0.025 (0.016<e2><80><93>0.036),0.0746 (0.0479<e2><80><93>0.1075)
Mozambique,Male,Low income,651 (438<e2><80><93>970),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0016 (0.0011<e2><80><93>0.0024)
Mozambique,Female,Low income,510 (331<e2><80><93>726),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0012 (0.0008<e2><80><93>0.0018)
Bangladesh,Male,Lower middle income,"53,484 (34,244<e2><80><93>77,121)",0.938 (0.600<e2><80><93>1.352),0.421 (0.269<e2><80><93>0.606),0.0598 (0.0383<e2><80><93>0.0862)
Bangladesh,Female,Lower middle income,"32,980 (21,948<e2><80><93>47,885)",0.578 (0.385<e2><80><93>0.840),0.267 (0.178<e2><80><93>0.388),0.0369 (0.0245<e2><80><93>0.0535)
Sierra Leone,Male,Low income,"1,678 (1,082<e2><80><93>2,368)",0.007 (0.004<e2><80><93>0.009),0.004 (0.002<e2><80><93>0.005),0.0231 (0.0149<e2><80><93>0.0326)
Sierra Leone,Female,Low income,"1,098 (699<e2><80><93>1,593)",0.004 (0.003<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.003),0.0151 (0.0096<e2><80><93>0.0219)
Samoa,Male,Upper middle income,93 (58<e2><80><93>138),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0783 (0.0486<e2><80><93>0.1156)
Samoa,Female,Upper middle income,53 (34<e2><80><93>78),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0447 (0.0286<e2><80><93>0.0652)
North Macedonia,Male,Upper middle income,"3,765 (3,121<e2><80><93>4,599)",0.290 (0.240<e2><80><93>0.354),0.123 (0.102<e2><80><93>0.151),0.6466 (0.5360<e2><80><93>0.7899)
North Macedonia,Female,Upper middle income,"2,558 (2,157<e2><80><93>3,146)",0.197 (0.166<e2><80><93>0.242),0.082 (0.069<e2><80><93>0.100),0.4393 (0.3704<e2><80><93>0.5403)
Mongolia,Male,Upper middle income,"3,908 (2,975<e2><80><93>5,001)",0.189 (0.144<e2><80><93>0.242),0.088 (0.067<e2><80><93>0.113),0.3019 (0.2298<e2><80><93>0.3863)
Mongolia,Female,Upper middle income,"2,453 (1,795<e2><80><93>3,123)",0.119 (0.087<e2><80><93>0.151),0.049 (0.036<e2><80><93>0.063),0.1895 (0.1387<e2><80><93>0.2412)
Pakistan,Male,Lower middle income,"42,739 (26,620<e2><80><93>61,380)",0.399 (0.249<e2><80><93>0.574),0.184 (0.115<e2><80><93>0.265),0.0268 (0.0167<e2><80><93>0.0385)
Pakistan,Female,Lower middle income,"52,084 (35,025<e2><80><93>75,950)",0.487 (0.327<e2><80><93>0.710),0.231 (0.156<e2><80><93>0.337),0.0327 (0.0220<e2><80><93>0.0477)
Philippines,Male,Lower middle income,"43,226 (33,593<e2><80><93>53,387)",0.998 (0.775<e2><80><93>1.232),0.454 (0.353<e2><80><93>0.560),0.0790 (0.0614<e2><80><93>0.0976)
Philippines,Female,Lower middle income,"37,529 (29,121<e2><80><93>46,398)",0.866 (0.672<e2><80><93>1.071),0.371 (0.288<e2><80><93>0.459),0.0686 (0.0532<e2><80><93>0.0848)
Comoros,Male,Lower middle income,88 (58<e2><80><93>127),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0128 (0.0085<e2><80><93>0.0185)
Comoros,Female,Lower middle income,78 (52<e2><80><93>110),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0114 (0.0076<e2><80><93>0.0159)
Tonga,Male,Upper middle income,82 (52<e2><80><93>115),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.1382 (0.0874<e2><80><93>0.1953)
Tonga,Female,Upper middle income,45 (30<e2><80><93>61),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0756 (0.0505<e2><80><93>0.1039)
Gabon,Male,Upper middle income,604 (411<e2><80><93>825),0.036 (0.025<e2><80><93>0.049),0.017 (0.012<e2><80><93>0.024),0.0702 (0.0478<e2><80><93>0.0958)
Gabon,Female,Upper middle income,"771 (512<e2><80><93>1,050)",0.046 (0.031<e2><80><93>0.063),0.023 (0.015<e2><80><93>0.031),0.0896 (0.0594<e2><80><93>0.1220)
Palestine,Male,Lower middle income,"2,447 (1,768<e2><80><93>3,177)",0.023 (0.016<e2><80><93>0.029),0.012 (0.009<e2><80><93>0.015),0.0732 (0.0529<e2><80><93>0.0951)
Palestine,Female,Lower middle income,"1,476 (1,044<e2><80><93>1,957)",0.014 (0.010<e2><80><93>0.018),0.006 (0.004<e2><80><93>0.008),0.0442 (0.0312<e2><80><93>0.0586)
Thailand,Male,Upper middle income,"87,430 (67,731<e2><80><93>112,940)",6.320 (4.896<e2><80><93>8.164),2.726 (2.112<e2><80><93>3.522),0.3748 (0.2903<e2><80><93>0.4841)
Thailand,Female,Upper middle income,"52,056 (42,226<e2><80><93>61,218)",3.763 (3.052<e2><80><93>4.425),1.500 (1.217<e2><80><93>1.764),0.2231 (0.1810<e2><80><93>0.2624)
Tunisia,Male,Lower middle income,"13,110 (9,697<e2><80><93>16,823)",0.437 (0.323<e2><80><93>0.561),0.191 (0.142<e2><80><93>0.246),0.2552 (0.1887<e2><80><93>0.3274)
Tunisia,Female,Lower middle income,"7,254 (4,984<e2><80><93>9,676)",0.242 (0.166<e2><80><93>0.323),0.103 (0.071<e2><80><93>0.138),0.1412 (0.0970<e2><80><93>0.1883)
Turkmenistan,Male,Upper middle income,"2,105 (1,690<e2><80><93>2,597)",0.118 (0.095<e2><80><93>0.145),0.055 (0.044<e2><80><93>0.067),0.0807 (0.0647<e2><80><93>0.0995)
Turkmenistan,Female,Upper middle income,"1,505 (1,213<e2><80><93>1,871)",0.084 (0.068<e2><80><93>0.105),0.037 (0.030<e2><80><93>0.046),0.0577 (0.0465<e2><80><93>0.0717)
Iraq,Male,Upper middle income,"35,233 (25,756<e2><80><93>43,495)",1.252 (0.916<e2><80><93>1.546),0.590 (0.431<e2><80><93>0.728),0.1896 (0.1386<e2><80><93>0.2341)
Iraq,Female,Upper middle income,"22,705 (17,725<e2><80><93>29,229)",0.807 (0.630<e2><80><93>1.039),0.364 (0.284<e2><80><93>0.468),0.1222 (0.0954<e2><80><93>0.1573)
Cameroon,Male,Lower middle income,"7,269 (4,809<e2><80><93>10,412)",0.058 (0.038<e2><80><93>0.083),0.030 (0.020<e2><80><93>0.043),0.0378 (0.0250<e2><80><93>0.0541)
Cameroon,Female,Lower middle income,"6,301 (4,170<e2><80><93>9,097)",0.050 (0.033<e2><80><93>0.073),0.026 (0.017<e2><80><93>0.038),0.0327 (0.0217<e2><80><93>0.0473)
Bhutan,Male,Lower middle income,178 (109<e2><80><93>262),0.007 (0.005<e2><80><93>0.011),0.003 (0.002<e2><80><93>0.005),0.0577 (0.0355<e2><80><93>0.0850)
Bhutan,Female,Lower middle income,154 (96<e2><80><93>225),0.006 (0.004<e2><80><93>0.009),0.003 (0.002<e2><80><93>0.004),0.0501 (0.0313<e2><80><93>0.0731)
Niger,Male,Low income,"4,942 (3,159<e2><80><93>6,857)",0.008 (0.005<e2><80><93>0.011),0.004 (0.003<e2><80><93>0.006),0.0164 (0.0105<e2><80><93>0.0227)
Niger,Female,Low income,"1,249 (852<e2><80><93>1,757)",0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.002),0.0041 (0.0028<e2><80><93>0.0058)
Viet Nam,Male,Lower middle income,"60,395 (37,825<e2><80><93>84,721)",2.231 (1.397<e2><80><93>3.130),0.972 (0.609<e2><80><93>1.364),0.1479 (0.0926<e2><80><93>0.2075)
Viet Nam,Female,Lower middle income,"37,088 (25,453<e2><80><93>55,589)",1.370 (0.940<e2><80><93>2.054),0.551 (0.378<e2><80><93>0.826),0.0908 (0.0623<e2><80><93>0.1361)
Peru,Male,Upper middle income,"23,509 (19,879<e2><80><93>28,704)",1.045 (0.884<e2><80><93>1.276),0.445 (0.376<e2><80><93>0.543),0.1816 (0.1535<e2><80><93>0.2217)
Peru,Female,Upper middle income,"27,479 (23,031<e2><80><93>32,753)",1.222 (1.024<e2><80><93>1.456),0.512 (0.429<e2><80><93>0.611),0.2122 (0.1779<e2><80><93>0.2529)
Paraguay,Male,Upper middle income,"4,595 (3,660<e2><80><93>5,728)",0.214 (0.171<e2><80><93>0.267),0.098 (0.078<e2><80><93>0.123),0.1783 (0.1420<e2><80><93>0.2223)
Paraguay,Female,Upper middle income,"4,420 (3,572<e2><80><93>5,556)",0.206 (0.167<e2><80><93>0.259),0.090 (0.073<e2><80><93>0.113),0.1715 (0.1386<e2><80><93>0.2156)
Chad,Male,Low income,"2,165 (1,373<e2><80><93>3,274)",0.006 (0.004<e2><80><93>0.009),0.003 (0.002<e2><80><93>0.005),0.0117 (0.0074<e2><80><93>0.0177)
Chad,Female,Low income,"1,570 (1,025<e2><80><93>2,261)",0.004 (0.003<e2><80><93>0.006),0.002 (0.002<e2><80><93>0.003),0.0085 (0.0055<e2><80><93>0.0122)
Sao Tome and Principe,Male,Lower middle income,20 (13<e2><80><93>29),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0139 (0.0090<e2><80><93>0.0199)
Sao Tome and Principe,Female,Lower middle income,17 (11<e2><80><93>25),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0118 (0.0074<e2><80><93>0.0168)
Haiti,Male,Lower middle income,"4,742 (2,910<e2><80><93>7,964)",0.018 (0.011<e2><80><93>0.030),0.010 (0.006<e2><80><93>0.016),0.0469 (0.0287<e2><80><93>0.0787)
Haiti,Female,Lower middle income,"4,533 (2,961<e2><80><93>6,690)",0.017 (0.011<e2><80><93>0.025),0.009 (0.006<e2><80><93>0.014),0.0448 (0.0293<e2><80><93>0.0661)
Guinea,Male,Lower middle income,"957 (646<e2><80><93>1,335)",0.005 (0.004<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.0088 (0.0059<e2><80><93>0.0122)
Guinea,Female,Lower middle income,"850 (563<e2><80><93>1,218)",0.005 (0.003<e2><80><93>0.007),0.003 (0.002<e2><80><93>0.004),0.0078 (0.0052<e2><80><93>0.0112)
Mauritius,Male,Upper middle income,"1,463 (1,214<e2><80><93>1,767)",0.149 (0.124<e2><80><93>0.180),0.067 (0.056<e2><80><93>0.081),0.4036 (0.3350<e2><80><93>0.4876)
Mauritius,Female,Upper middle income,"945 (799<e2><80><93>1,101)",0.096 (0.081<e2><80><93>0.112),0.041 (0.034<e2><80><93>0.047),0.2608 (0.2204<e2><80><93>0.3037)
Botswana,Male,Upper middle income,"767 (486<e2><80><93>1,140)",0.047 (0.030<e2><80><93>0.070),0.022 (0.014<e2><80><93>0.033),0.0898 (0.0569<e2><80><93>0.1336)
Botswana,Female,Upper middle income,516 (317<e2><80><93>787),0.031 (0.019<e2><80><93>0.048),0.014 (0.009<e2><80><93>0.022),0.0604 (0.0372<e2><80><93>0.0922)
Libya,Male,Upper middle income,"6,133 (3,780<e2><80><93>9,138)",0.200 (0.123<e2><80><93>0.298),0.092 (0.057<e2><80><93>0.137),0.1980 (0.1220<e2><80><93>0.2950)
Libya,Female,Upper middle income,"3,719 (2,442<e2><80><93>5,493)",0.121 (0.080<e2><80><93>0.179),0.058 (0.038<e2><80><93>0.086),0.1200 (0.0788<e2><80><93>0.1773)
Equatorial Guinea,Male,Upper middle income,469 (287<e2><80><93>707),0.022 (0.013<e2><80><93>0.033),0.012 (0.007<e2><80><93>0.018),0.0671 (0.0411<e2><80><93>0.1013)
Equatorial Guinea,Female,Upper middle income,516 (326<e2><80><93>731),0.024 (0.015<e2><80><93>0.034),0.012 (0.008<e2><80><93>0.017),0.0739 (0.0467<e2><80><93>0.1046)
Gambia,Male,Low income,204 (133<e2><80><93>300),0.001 (0.001<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.0087 (0.0057<e2><80><93>0.0128)
Gambia,Female,Low income,188 (128<e2><80><93>255),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0080 (0.0055<e2><80><93>0.0109)
Eswatini,Male,Lower middle income,281 (170<e2><80><93>417),0.007 (0.004<e2><80><93>0.010),0.004 (0.002<e2><80><93>0.005),0.0486 (0.0295<e2><80><93>0.0722)
Eswatini,Female,Lower middle income,283 (189<e2><80><93>420),0.007 (0.005<e2><80><93>0.010),0.004 (0.002<e2><80><93>0.005),0.0490 (0.0327<e2><80><93>0.0726)
Namibia,Male,Lower middle income,416 (272<e2><80><93>567),0.010 (0.007<e2><80><93>0.014),0.005 (0.003<e2><80><93>0.007),0.0298 (0.0195<e2><80><93>0.0407)
Namibia,Female,Lower middle income,249 (170<e2><80><93>338),0.006 (0.004<e2><80><93>0.008),0.003 (0.002<e2><80><93>0.004),0.0179 (0.0122<e2><80><93>0.0242)
Colombia,Male,Upper middle income,"31,070 (28,949<e2><80><93>33,028)",1.887 (1.759<e2><80><93>2.006),0.792 (0.738<e2><80><93>0.842),0.1722 (0.1605<e2><80><93>0.1831)
Colombia,Female,Upper middle income,"32,522 (29,344<e2><80><93>35,964)",1.976 (1.783<e2><80><93>2.185),0.795 (0.718<e2><80><93>0.880),0.1803 (0.1627<e2><80><93>0.1994)
Saint Lucia,Male,Upper middle income,181 (141<e2><80><93>224),0.015 (0.012<e2><80><93>0.019),0.007 (0.005<e2><80><93>0.008),0.3261 (0.2542<e2><80><93>0.4033)
Saint Lucia,Female,Upper middle income,174 (140<e2><80><93>209),0.015 (0.012<e2><80><93>0.018),0.006 (0.005<e2><80><93>0.007),0.3133 (0.2524<e2><80><93>0.3769)
El Salvador,Male,Upper middle income,"4,176 (3,193<e2><80><93>5,381)",0.120 (0.091<e2><80><93>0.154),0.056 (0.043<e2><80><93>0.072),0.1494 (0.1142<e2><80><93>0.1925)
El Salvador,Female,Upper middle income,"5,563 (4,028<e2><80><93>7,318)",0.159 (0.115<e2><80><93>0.209),0.068 (0.049<e2><80><93>0.090),0.1990 (0.1441<e2><80><93>0.2617)
Rwanda,Male,Low income,"4,207 (2,677<e2><80><93>5,957)",0.017 (0.011<e2><80><93>0.024),0.009 (0.005<e2><80><93>0.012),0.0352 (0.0224<e2><80><93>0.0499)
Rwanda,Female,Low income,"3,359 (2,266<e2><80><93>4,787)",0.013 (0.009<e2><80><93>0.019),0.006 (0.004<e2><80><93>0.009),0.0281 (0.0190<e2><80><93>0.0401)
China,Both,Upper middle income,"2,765,626 (2,343,072<e2><80><93>3,304,790)",221.449 (187.614<e2><80><93>264.621),89.326 (75.692<e2><80><93>106.681),0.6234 (0.5282<e2><80><93>0.7450)
Cambodia,Both,Lower middle income,"9,144 (5,911<e2><80><93>13,398)",0.117 (0.076<e2><80><93>0.172),0.052 (0.033<e2><80><93>0.075),0.0907 (0.0586<e2><80><93>0.1328)
Indonesia,Both,Upper middle income,"283,718 (186,677<e2><80><93>402,975)",10.883 (7.161<e2><80><93>15.458),4.813 (3.166<e2><80><93>6.838),0.2511 (0.1652<e2><80><93>0.3566)
Lao People's Democratic Republic,Both,Lower middle income,"5,715 (3,665<e2><80><93>8,225)",0.103 (0.066<e2><80><93>0.148),0.049 (0.031<e2><80><93>0.070),0.1440 (0.0924<e2><80><93>0.2073)
Malaysia,Both,Upper middle income,"37,254 (30,202<e2><80><93>46,021)",5.199 (4.215<e2><80><93>6.423),2.173 (1.763<e2><80><93>2.684),0.4059 (0.3291<e2><80><93>0.5014)
Maldives,Both,Upper middle income,256 (182<e2><80><93>337),0.020 (0.014<e2><80><93>0.026),0.008 (0.006<e2><80><93>0.011),0.1534 (0.1094<e2><80><93>0.2023)
Myanmar,Both,Lower middle income,"53,369 (34,514<e2><80><93>76,507)",0.491 (0.318<e2><80><93>0.704),0.239 (0.155<e2><80><93>0.343),0.1524 (0.0986<e2><80><93>0.2185)
Philippines,Both,Lower middle income,"80,755 (62,714<e2><80><93>99,785)",1.864 (1.447<e2><80><93>2.303),0.825 (0.640<e2><80><93>1.019),0.1476 (0.1147<e2><80><93>0.1824)
Sri Lanka,Both,Lower middle income,"20,990 (16,847<e2><80><93>26,077)",0.731 (0.587<e2><80><93>0.908),0.306 (0.246<e2><80><93>0.380),0.2295 (0.1842<e2><80><93>0.2851)
Thailand,Both,Upper middle income,"139,485 (109,958<e2><80><93>174,157)",10.083 (7.948<e2><80><93>12.589),4.226 (3.329<e2><80><93>5.285),0.5979 (0.4713<e2><80><93>0.7465)
Timor-Leste,Both,Lower middle income,629 (401<e2><80><93>922),0.004 (0.003<e2><80><93>0.006),0.002 (0.001<e2><80><93>0.003),0.0631 (0.0403<e2><80><93>0.0926)
Viet Nam,Both,Lower middle income,"97,483 (63,278<e2><80><93>140,310)",3.601 (2.338<e2><80><93>5.183),1.523 (0.987<e2><80><93>2.190),0.2387 (0.1549<e2><80><93>0.3436)
Fiji,Both,Upper middle income,"870 (589<e2><80><93>1,203)",0.031 (0.021<e2><80><93>0.043),0.015 (0.010<e2><80><93>0.020),0.2284 (0.1545<e2><80><93>0.3157)
Kiribati,Both,Lower middle income,21 (14<e2><80><93>30),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0189 (0.0122<e2><80><93>0.0266)
Marshall Islands,Both,Upper middle income,49 (31<e2><80><93>81),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.001),0.2186 (0.1372<e2><80><93>0.3626)
Micronesia (Federated States of),Both,Lower middle income,80 (55<e2><80><93>108),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0927 (0.0639<e2><80><93>0.1256)
Papua New Guinea,Both,Lower middle income,"4,367 (2,580<e2><80><93>7,266)",0.028 (0.016<e2><80><93>0.046),0.013 (0.008<e2><80><93>0.022),0.0575 (0.0340<e2><80><93>0.0958)
Samoa,Both,Upper middle income,147 (92<e2><80><93>216),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.1230 (0.0772<e2><80><93>0.1808)
Solomon Islands,Both,Lower middle income,596 (368<e2><80><93>890),0.002 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0760 (0.0470<e2><80><93>0.1136)
Tonga,Both,Upper middle income,126 (81<e2><80><93>177),0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.2138 (0.1379<e2><80><93>0.2991)
Vanuatu,Both,Lower middle income,139 (86<e2><80><93>212),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0519 (0.0321<e2><80><93>0.0793)
Armenia,Both,Upper middle income,"8,606 (7,374<e2><80><93>10,022)",0.545 (0.467<e2><80><93>0.635),0.224 (0.192<e2><80><93>0.261),0.8538 (0.7316<e2><80><93>0.9943)
Azerbaijan,Both,Upper middle income,"13,596 (9,764<e2><80><93>17,767)",0.991 (0.712<e2><80><93>1.295),0.443 (0.318<e2><80><93>0.579),0.4127 (0.2964<e2><80><93>0.5393)
Georgia,Both,Upper middle income,"9,616 (8,019<e2><80><93>11,483)",0.765 (0.638<e2><80><93>0.914),0.337 (0.281<e2><80><93>0.402),0.8213 (0.6849<e2><80><93>0.9807)
Kazakhstan,Both,Upper middle income,"27,678 (23,877<e2><80><93>32,071)",4.193 (3.617<e2><80><93>4.858),1.830 (1.579<e2><80><93>2.120),0.5355 (0.4619<e2><80><93>0.6205)
Kyrgyzstan,Both,Lower middle income,"6,771 (5,662<e2><80><93>8,128)",0.085 (0.071<e2><80><93>0.102),0.036 (0.030<e2><80><93>0.044),0.1633 (0.1365<e2><80><93>0.1960)
Mongolia,Both,Upper middle income,"6,361 (4,770<e2><80><93>8,123)",0.308 (0.231<e2><80><93>0.393),0.138 (0.103<e2><80><93>0.176),0.4914 (0.3685<e2><80><93>0.6275)
Tajikistan,Both,Lower middle income,"3,357 (2,289<e2><80><93>4,584)",0.024 (0.016<e2><80><93>0.032),0.010 (0.007<e2><80><93>0.014),0.0456 (0.0311<e2><80><93>0.0623)
Turkmenistan,Both,Upper middle income,"3,611 (2,902<e2><80><93>4,467)",0.202 (0.162<e2><80><93>0.250),0.091 (0.074<e2><80><93>0.113),0.1384 (0.1112<e2><80><93>0.1712)
Uzbekistan,Both,Lower middle income,"20,241 (16,840<e2><80><93>24,112)",0.475 (0.395<e2><80><93>0.566),0.210 (0.175<e2><80><93>0.250),0.1199 (0.0998<e2><80><93>0.1428)
Albania,Both,Upper middle income,"5,284 (3,842<e2><80><93>6,733)",0.397 (0.289<e2><80><93>0.506),0.162 (0.118<e2><80><93>0.207),0.6814 (0.4954<e2><80><93>0.8683)
Bosnia and Herzegovina,Both,Upper middle income,"12,762 (10,138<e2><80><93>15,861)",0.864 (0.686<e2><80><93>1.074),0.363 (0.288<e2><80><93>0.451),1.2049 (0.9571<e2><80><93>1.4974)
North Macedonia,Both,Upper middle income,"6,323 (5,278<e2><80><93>7,746)",0.487 (0.406<e2><80><93>0.596),0.205 (0.171<e2><80><93>0.251),1.0859 (0.9064<e2><80><93>1.3302)
Montenegro,Both,Upper middle income,"2,351 (1,713<e2><80><93>3,057)",0.258 (0.188<e2><80><93>0.335),0.109 (0.079<e2><80><93>0.142),1.3319 (0.9701<e2><80><93>1.7319)
Serbia,Both,Upper middle income,"38,231 (31,348<e2><80><93>47,481)",3.735 (3.062<e2><80><93>4.638),1.581 (1.296<e2><80><93>1.964),1.9614 (1.6083<e2><80><93>2.4360)
Belarus,Both,Upper middle income,"32,045 (27,978<e2><80><93>36,301)",3.477 (3.036<e2><80><93>3.939),1.528 (1.333<e2><80><93>1.731),1.2287 (1.0727<e2><80><93>1.3918)
Republic of Moldova,Both,Upper middle income,"11,900 (10,033<e2><80><93>14,032)",0.564 (0.475<e2><80><93>0.665),0.243 (0.205<e2><80><93>0.287),1.2926 (1.0899<e2><80><93>1.5243)
