Sex,Income Group,Countries,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD)
Both,Low income,20,142.8,0.34,0.17
Both,Lower middle income,50,1467.5,32.93,14.93
Both,Upper middle income,52,4858.3,378.04,157.01
Female,Low income,20,66.4,0.15,0.08
Female,Lower middle income,50,618.2,13.38,6.03
Female,Upper middle income,52,1898.4,146,59.33
Male,Low income,20,76.4,0.19,0.1
Male,Lower middle income,50,849.3,19.55,8.9
Male,Upper middle income,52,2959.9,232.04,97.68
