Income Group,Countries,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted r=0 (billion constant-2023 USD),VLW/GDP (%; point estimate),Mean HALE
Low income,20,142.8,0.34,0.17,0.0304,54.3
Lower middle income,50,1467.5,32.93,14.93,0.1113,59.8
Upper middle income,52,4858.3,378.04,157.01,0.5772,63.6
All LMICs,122,6468.7,411.31,172.12,0.4275,60.5
