model,Year,Group,DALY,DALY_lower_95_PI,DALY_upper_95_PI,VLW_billion,VLW_lower_95_PI_billion,VLW_upper_95_PI_billion,interval_level,simulation_draws,method
ETS,2040,Upper middle income,6522871.722925251,5051990.621267946,7993752.824582556,507.557151865682,393.10507394632083,622.0092297850432,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,All LMICs,10022236.754926622,8613824.906902231,11429213.333951393,580.068927435296,522.7566045831729,637.4649524431637,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2045,Low income,357940.88543389854,225441.0128209491,490440.758046848,0.853823976541457,0.5377618201088772,1.1698861329740369,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,Lower middle income,3120351.61738996,2206676.773403558,4034026.4613763625,70.0182577057386,49.51610649657396,90.52040891490326,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,Upper middle income,6543944.252102762,6007962.175298389,7079926.328907136,509.19684575301596,467.4910529811352,550.9026385248967,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,All LMICs,10053410.96078784,7455791.380866018,12638858.49307961,602.0758127191189,441.90921564055367,763.6217465068912,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2045,Low income,314828.01549540064,188648.9459869924,441007.0850038089,0.7509835256486215,0.44999886793517463,1.0519681833620684,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,Lower middle income,2825453.4629777647,1874227.4779170072,3776679.448038522,63.40097301977389,42.05620347931746,84.74574256023033,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,Upper middle income,6913129.482314676,4982648.782063447,8843610.182565905,537.9238561736963,387.7094525226973,688.1382598246954,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,All LMICs,10878881.204565309,9103277.08121767,12630985.458198467,622.237900128822,554.7190605970849,688.7040699664877,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2050,Low income,406829.79010061466,227779.02219885707,585880.5580023723,0.9704424481661533,0.5433388540423345,1.3975460422899721,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,Lower middle income,3495999.805022544,2286472.8221957176,4705526.78784937,78.44751018541672,51.30666762343266,105.58835274740076,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,Upper middle income,6976051.60944215,6388263.081001045,7563840.137883255,542.8199474952391,497.08299541838676,588.5568995720915,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,All LMICs,10668863.683848374,7395645.411140123,13932763.265192563,634.827327249978,433.60992661996465,836.2182696050323,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2050,Low income,344355.86037203786,179631.54720688687,509080.17353718885,0.8214185694148792,0.4284889717545339,1.2143481670752245,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,Lower middle income,3058616.361497807,1824938.6054894924,4292294.117506121,68.6329666915797,40.95019960705459,96.3157337761048,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,Upper middle income,7265891.461978529,4861035.260835089,9670747.663121969,565.3729419889834,378.2464713259215,752.4994126520453,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
