Age Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),Share of total VLW (%)
<5 years,0,0,0.0
5-9 years,0,0,0.0
10-14 years,0,0,0.0
15-19 years,9429,0.433,0.1
20-24 years,16862,0.753,0.2
25-29 years,31754,1.543,0.4
30-34 years,85110,4.208,1.0
35-39 years,166416,8.868,2.2
40-44 years,269020,14.65,3.6
45-49 years,436074,25.49,6.2
50-54 years,686077,42.029,10.2
55-59 years,910722,57.687,14.0
60-64 years,1011450,63.758,15.5
65-69 years,1024797,67.079,16.3
70-74 years,832014,55.749,13.6
75-79 years,510474,35.136,8.5
80-84 years,275935,19.403,4.7
85-89 years,143373,10.174,2.5
90-94 years,47229,3.497,0.9
95+ years,11918,0.848,0.2
