Rank,Country,Income Group,GDP pc (PPP),DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW/GDP (%; point estimate)
29,Peru,Upper middle income,"17,011",51,2.267,0.3938
30,Mexico,Upper middle income,"24,917",149.8,11.81,0.3653
31,Cabo Verde,Upper middle income,"10,242",0.9,0.019,0.3542
32,Colombia,Upper middle income,"20,944",63.6,3.863,0.3525
33,Paraguay,Upper middle income,"17,564",9,0.421,0.3499
34,El Salvador,Upper middle income,"12,680",9.7,0.279,0.3484
35,Bolivia (Plurinational State of),Lower middle income,"12,892",18,0.529,0.3349
36,Libya,Upper middle income,"13,847",9.9,0.322,0.318
37,Iraq,Upper middle income,"14,653",57.9,2.059,0.3118
38,South Africa,Upper middle income,"15,200",78.2,2.936,0.3056
39,Jamaica,Upper middle income,"12,651",3.8,0.108,0.2995
40,Egypt,Lower middle income,"18,525",125.1,6.32,0.2979
41,Belize,Upper middle income,"13,730",0.4,0.014,0.2534
42,Indonesia,Upper middle income,"15,416",283.7,10.883,0.2511
43,Ecuador,Upper middle income,"15,919",17.3,0.696,0.2431
44,Jordan,Lower middle income,"10,412",13.5,0.288,0.2421
45,Iran (Islamic Republic of),Upper middle income,"18,917",79.3,4.135,0.2412
46,Viet Nam,Lower middle income,"15,034",97.5,3.601,0.2387
47,Tuvalu,Upper middle income,"6,151",0,0,0.2329
48,Sri Lanka,Lower middle income,"14,456",21,0.731,0.2295
49,Fiji,Upper middle income,"14,644",0.9,0.031,0.2284
50,Marshall Islands,Upper middle income,"7,549",0,0.001,0.2186
51,Tonga,Upper middle income,"7,803",0.1,0.002,0.2138
52,Kyrgyzstan,Lower middle income,"7,298",6.8,0.085,0.1633
53,Gabon,Upper middle income,"20,756",1.4,0.082,0.1597
54,Maldives,Upper middle income,"24,786",0.3,0.02,0.1534
55,Myanmar,Lower middle income,"5,953",53.4,0.491,0.1524
56,Botswana,Upper middle income,"21,012",1.3,0.078,0.1502
57,Philippines,Lower middle income,"10,986",80.8,1.864,0.1476
58,Lao People's Democratic Republic,Lower middle income,"9,292",5.7,0.103,0.144
59,Nicaragua,Lower middle income,"8,320",5.3,0.08,0.1411
60,Equatorial Guinea,Upper middle income,"17,412",1,0.045,0.1409
61,Turkmenistan,Upper middle income,"19,829",3.6,0.202,0.1384
62,Guatemala,Upper middle income,"13,745",10,0.322,0.1294
63,Samoa,Upper middle income,"8,195",0.1,0.002,0.123
64,Uzbekistan,Lower middle income,"11,107",20.2,0.475,0.1199
65,Palestine,Lower middle income,"5,950",3.9,0.036,0.1174
66,Algeria,Upper middle income,"16,824",20.7,0.906,0.1167
67,Morocco,Lower middle income,"9,895",21.3,0.42,0.1109
68,Bhutan,Lower middle income,"16,215",0.3,0.014,0.10780000000000001
69,Eswatini,Lower middle income,"11,300",0.6,0.014,0.0975
70,Bangladesh,Lower middle income,"9,148",86.5,1.516,0.0967
71,Honduras,Lower middle income,"7,178",5.9,0.072,0.0939
72,Micronesia (Federated States of),Lower middle income,"4,234",0.1,0,0.0927
73,Haiti,Lower middle income,"3,292",9.3,0.035,0.0916
74,Cambodia,Lower middle income,"7,431",9.1,0.117,0.0907
75,Ghana,Lower middle income,"7,556",17.3,0.228,0.0894
76,India,Lower middle income,"10,323",591.8,12.44,0.0838
77,Djibouti,Lower middle income,"7,226",0.6,0.007,0.0838
78,Côte d'Ivoire,Lower middle income,"7,237",15,0.185,0.0818
79,Mauritania,Lower middle income,"6,966",2.3,0.027,0.0779
80,Solomon Islands,Lower middle income,"2,597",0.6,0.002,0.076
81,Kenya,Lower middle income,"6,317",25,0.252,0.0719
82,Cameroon,Lower middle income,"5,411",13.6,0.108,0.0705
83,Zimbabwe,Lower middle income,"5,791",7.4,0.065,0.0689
84,Rwanda,Low income,"3,399",7.6,0.03,0.0634
85,Timor-Leste,Lower middle income,"4,807",0.6,0.004,0.0631
86,Congo,Lower middle income,"6,850",2.3,0.026,0.0605
87,Pakistan,Lower middle income,"6,014",94.8,0.886,0.0595
88,Angola,Lower middle income,"9,754",10.7,0.207,0.0579
89,Papua New Guinea,Lower middle income,"4,668",4.4,0.028,0.0575
90,Mali,Low income,"3,175",12,0.043,0.057
91,Vanuatu,Lower middle income,"3,568",0.1,0.001,0.0519
92,Lesotho,Lower middle income,"2,881",1.1,0.003,0.0493
93,Namibia,Lower middle income,"11,251",0.7,0.016,0.0477
94,Uganda,Low income,"3,098",20.3,0.07,0.0465
95,Tajikistan,Lower middle income,"4,964",3.4,0.024,0.0456
96,Nepal,Lower middle income,"5,395",8.9,0.071,0.0443
97,Senegal,Lower middle income,"4,778",5.5,0.037,0.0425
98,Sudan,Low income,"2,421",20.3,0.048,0.04
99,Benin,Lower middle income,"4,130",4.4,0.023,0.0398
100,Sierra Leone,Low income,"3,368",2.8,0.011,0.0382
101,Togo,Low income,"3,154",3,0.011,0.0361
102,Liberia,Low income,"1,795",2.3,0.003,0.0355
103,Madagascar,Low income,"1,808",11.4,0.018,0.0312
104,Guinea-Bissau,Low income,"2,990",0.5,0.002,0.0271
105,Sao Tome and Principe,Lower middle income,"6,150",0,0,0.0256
106,Democratic Republic of the Congo,Low income,"1,731",31.9,0.046,0.0251
107,Comoros,Lower middle income,"3,812",0.2,0.001,0.0242
108,Burkina Faso,Low income,"2,759",5,0.014,0.0227
109,Zambia,Lower middle income,"4,077",3.5,0.019,0.0219
110,Nigeria,Lower middle income,"8,705",25.2,0.411,0.0207
111,Niger,Low income,"1,875",6.2,0.01,0.0205
112,Chad,Low income,"2,700",3.7,0.011,0.0201
113,United Republic of Tanzania,Lower middle income,"4,019",10.1,0.052,0.0199
114,Kiribati,Lower middle income,"3,486",0,0,0.0189
115,Central African Republic,Low income,"1,257",1.3,0.001,0.0173
116,Burundi,Low income,"1,150",3.4,0.003,0.0168
117,Gambia,Low income,"3,289",0.4,0.001,0.0167
118,Guinea,Lower middle income,"4,334",1.8,0.01,0.0166
119,Malawi,Low income,"1,830",2.7,0.004,0.0111
120,Afghanistan,Low income,"2,202",4.8,0.01,0.0108
121,Somalia,Low income,"1,556",2.2,0.003,0.0093
122,Mozambique,Low income,"1,678",1.2,0.002,0.0028
