Rank,Country,Income Group,GDP pc (PPP),DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW/GDP (%; point estimate)
1,Serbia,Upper middle income,"28,749",38.2,3.735,1.9614
2,Montenegro,Upper middle income,"31,064",2.4,0.258,1.3319
3,Republic of Moldova,Upper middle income,"17,747",11.9,0.564,1.2926
4,Belarus,Upper middle income,"30,834",32,3.477,1.2287
5,Bosnia and Herzegovina,Upper middle income,"22,512",12.8,0.864,1.2049
6,North Macedonia,Upper middle income,"24,532",6.3,0.487,1.0859
7,Argentina,Upper middle income,"30,221",136.3,14.356,1.0432
8,Ukraine,Upper middle income,"17,665",131.9,6.208,0.9966
9,Türkiye,Upper middle income,"43,196",203,36.517,0.9908
10,Armenia,Upper middle income,"21,534",8.6,0.545,0.8538
11,Georgia,Upper middle income,"25,072",9.6,0.765,0.8213
12,Albania,Upper middle income,"24,129",5.3,0.397,0.6814
13,Mauritius,Upper middle income,"29,561",2.4,0.245,0.6644
14,Dominica,Upper middle income,"20,286",0.2,0.009,0.661
15,Saint Lucia,Upper middle income,"25,975",0.4,0.03,0.6394
16,Grenada,Upper middle income,"18,971",0.3,0.014,0.6242
17,China,Upper middle income,"25,179",2765.6,221.449,0.6234
18,Thailand,Upper middle income,"23,519",139.5,10.083,0.5979
19,Brazil,Upper middle income,"21,176",395.5,24.425,0.5463
20,Saint Vincent and the Grenadines,Upper middle income,"19,820",0.2,0.011,0.5374
21,Kazakhstan,Upper middle income,"38,515",27.7,4.193,0.5355
22,Mongolia,Upper middle income,"18,005",6.4,0.308,0.4914
23,Suriname,Upper middle income,"21,110",1,0.061,0.4595
24,Dominican Republic,Upper middle income,"25,840",16.1,1.342,0.4583
25,Lebanon,Lower middle income,"12,575",11.6,0.327,0.451
26,Azerbaijan,Upper middle income,"23,652",13.6,0.991,0.4127
27,Malaysia,Upper middle income,"36,467",37.3,5.199,0.4059
28,Tunisia,Lower middle income,"14,041",20.4,0.679,0.3964
