Income Group,Countries,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted r=0 (billion constant-2023 USD),VLW/GDP (%; point estimate),Mean HALE
Low income,20,142.8,11.37,5.77,1.0158,54.3
Lower middle income,50,1467.5,244.62,111.56,0.8268,59.8
Upper middle income,52,4858.3,1243.96,518.01,1.8993,63.6
All LMICs,122,6468.7,1499.95,635.34,1.5592,60.5
