Sex,Income Group,Countries,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD)
Both,Low income,20,142.8,11.37,5.77
Both,Lower middle income,50,1467.5,244.62,111.56
Both,Upper middle income,52,4858.3,1243.96,518.01
Female,Low income,20,66.4,5.23,2.63
Female,Lower middle income,50,618.2,101.67,46.14
Female,Upper middle income,52,1898.4,483.95,197.09
Male,Low income,20,76.4,6.13,3.14
Male,Lower middle income,50,849.3,142.96,65.42
Male,Upper middle income,52,2959.9,760.01,320.92
