Year,Group,"VLW (billion USD, 95% PI)","DALYs (thousands, 95% PI)"
2025,All LMICs (=sum of income groups),"1,505.93 (1,433.73<e2><80><93>1,578.13)","6,628.5 (6,326.2<e2><80><93>6,930.8)"
2025,Low income,12.92 (12.53<e2><80><93>13.32),161.8 (156.5<e2><80><93>167.1)
2025,Lower middle income,267.23 (257.75<e2><80><93>276.71),"1,599.9 (1,542.0<e2><80><93>1,657.8)"
2025,Upper middle income,"1,225.78 (1,163.45<e2><80><93>1,288.11)","4,866.8 (4,627.7<e2><80><93>5,105.9)"
2030,All LMICs (=sum of income groups),"1,687.32 (1,495.23<e2><80><93>1,879.41)","7,508.4 (6,658.9<e2><80><93>8,357.8)"
2030,Low income,16.54 (14.95<e2><80><93>18.12),206.0 (179.1<e2><80><93>233.0)
2030,Lower middle income,325.25 (289.33<e2><80><93>361.18),"1,942.8 (1,726.1<e2><80><93>2,159.6)"
2030,Upper middle income,"1,345.53 (1,190.96<e2><80><93>1,500.11)","5,359.5 (4,753.8<e2><80><93>5,965.2)"
2035,All LMICs (=sum of income groups),"1,851.28 (1,527.30<e2><80><93>2,175.27)","8,303.7 (6,826.2<e2><80><93>9,781.2)"
2035,Low income,19.80 (16.68<e2><80><93>22.93),246.0 (190.0<e2><80><93>302.1)
2035,Lower middle income,377.70 (306.93<e2><80><93>448.48),"2,252.8 (1,823.4<e2><80><93>2,682.3)"
2035,Upper middle income,"1,453.78 (1,203.69<e2><80><93>1,703.87)","5,804.8 (4,812.8<e2><80><93>6,796.8)"
2040,All LMICs (=sum of income groups),"1,999.49 (1,532.75<e2><80><93>2,466.24)","9,022.6 (6,855.5<e2><80><93>11,189.6)"
2040,Low income,22.76 (17.89<e2><80><93>27.63),282.2 (192.5<e2><80><93>371.8)
2040,Lower middle income,425.11 (314.47<e2><80><93>535.75),"2,533.0 (1,859.5<e2><80><93>3,206.5)"
2040,Upper middle income,"1,551.63 (1,200.40<e2><80><93>1,902.86)","6,207.4 (4,803.5<e2><80><93>7,611.3)"
2045,All LMICs (=sum of income groups),"2,133.46 (1,516.19<e2><80><93>2,750.74)","9,672.4 (6,773.1<e2><80><93>12,571.7)"
2045,Low income,25.43 (18.66<e2><80><93>32.19),314.8 (188.6<e2><80><93>441.0)
2045,Lower middle income,467.96 (314.13<e2><80><93>621.80),"2,786.3 (1,848.2<e2><80><93>3,724.5)"
2045,Upper middle income,"1,640.07 (1,183.39<e2><80><93>2,096.75)","6,571.2 (4,736.3<e2><80><93>8,406.2)"
2050,All LMICs (=sum of income groups),"2,254.56 (1,481.46<e2><80><93>3,027.67)","10,259.8 (6,599.3<e2><80><93>13,920.3)"
2050,Low income,27.84 (19.09<e2><80><93>36.59),344.4 (179.6<e2><80><93>509.1)
2050,Lower middle income,506.70 (307.45<e2><80><93>705.95),"3,015.3 (1,798.6<e2><80><93>4,232.0)"
2050,Upper middle income,"1,720.02 (1,154.92<e2><80><93>2,285.12)","6,900.2 (4,621.0<e2><80><93>9,179.3)"
