Country,Sex,Income Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD),VLW/GDP (%; point estimate)
Ecuador,Female,Upper middle income,8717,1.814,0.751,0.6338
Cabo Verde,Male,Upper middle income,356,0.059,0.026,1.1117
Cabo Verde,Female,Upper middle income,556,0.093,0.039,1.735
Lesotho,Male,Lower middle income,543,0.048,0.028,0.7219
Lesotho,Female,Lower middle income,515,0.046,0.025,0.6853
Iran (Islamic Republic of),Male,Upper middle income,50585,11.476,4.837,0.6695
Iran (Islamic Republic of),Female,Upper middle income,28710,6.513,2.734,0.38
Dominican Republic,Male,Upper middle income,9103,2.414,1.106,0.8243
Dominican Republic,Female,Upper middle income,7016,1.86,0.807,0.6353
Nicaragua,Male,Lower middle income,2464,0.371,0.163,0.653
Nicaragua,Female,Lower middle income,2801,0.421,0.178,0.7424
Nigeria,Male,Lower middle income,14472,2.227,1.127,0.1123
Nigeria,Female,Lower middle income,10770,1.658,0.834,0.0836
Fiji,Male,Upper middle income,565,0.113,0.054,0.8327
Fiji,Female,Upper middle income,306,0.061,0.029,0.4511
Timor-Leste,Male,Lower middle income,293,0.033,0.015,0.5027
Timor-Leste,Female,Lower middle income,337,0.038,0.018,0.5785
Lebanon,Male,Lower middle income,7092,1.312,0.558,1.807
Lebanon,Female,Lower middle income,4495,0.831,0.348,1.1451
Liberia,Male,Low income,1343,0.094,0.05,0.9521
Liberia,Female,Low income,951,0.066,0.035,0.6744
Morocco,Male,Lower middle income,11882,1.949,0.845,0.5145
Morocco,Female,Lower middle income,9423,1.546,0.7,0.4081
Somalia,Male,Low income,1128,0.073,0.037,0.257
Somalia,Female,Low income,1031,0.067,0.033,0.2349
Armenia,Male,Upper middle income,4937,1.195,0.503,1.8719
Armenia,Female,Upper middle income,3670,0.888,0.355,1.3915
Côte d'Ivoire,Male,Lower middle income,7434,1.043,0.529,0.4625
Côte d'Ivoire,Female,Lower middle income,7521,1.055,0.527,0.4679
Senegal,Male,Lower middle income,2962,0.338,0.157,0.3911
Senegal,Female,Lower middle income,2579,0.294,0.135,0.3404
Brazil,Male,Upper middle income,203346,48.809,21.622,1.0917
Brazil,Female,Upper middle income,192173,46.127,19.54,1.0317
Marshall Islands,Male,Upper middle income,28,0.004,0.002,1.3698
Marshall Islands,Female,Upper middle income,21,0.003,0.001,1.0137
Belarus,Male,Upper middle income,19417,5.624,2.564,1.9873
Belarus,Female,Upper middle income,12628,3.657,1.513,1.2924
Tuvalu,Male,Upper middle income,10,0.001,0.001,2.1124
Tuvalu,Female,Upper middle income,5,0.001,0,1.0036
Uganda,Male,Low income,10649,0.978,0.491,0.6486
Uganda,Female,Low income,9654,0.886,0.425,0.588
Burkina Faso,Male,Low income,2538,0.22,0.107,0.3462
Burkina Faso,Female,Low income,2420,0.21,0.099,0.3301
Cambodia,Male,Lower middle income,4399,0.625,0.279,0.4831
Cambodia,Female,Lower middle income,4745,0.675,0.291,0.5211
South Africa,Male,Upper middle income,42591,8.661,4.404,0.9014
South Africa,Female,Upper middle income,35589,7.237,3.468,0.7533
Algeria,Male,Upper middle income,12983,2.778,1.189,0.3576
Algeria,Female,Upper middle income,7733,1.655,0.707,0.213
Azerbaijan,Male,Upper middle income,8605,2.183,0.991,0.9089
Azerbaijan,Female,Upper middle income,4992,1.266,0.55,0.5273
Kenya,Male,Lower middle income,11303,1.482,0.689,0.4239
Kenya,Female,Lower middle income,13694,1.795,0.82,0.5135
Ghana,Male,Lower middle income,9574,1.373,0.688,0.5377
Ghana,Female,Lower middle income,7773,1.114,0.536,0.4365
Bosnia and Herzegovina,Male,Upper middle income,6957,1.722,0.737,2.4013
Bosnia and Herzegovina,Female,Upper middle income,5805,1.437,0.59,2.0037
Togo,Male,Low income,1509,0.14,0.071,0.4762
Togo,Female,Low income,1479,0.137,0.068,0.4667
Afghanistan,Male,Low income,2541,0.197,0.097,0.2155
Afghanistan,Female,Low income,2222,0.172,0.086,0.1885
Central African Republic,Male,Low income,489,0.029,0.017,0.4416
Central African Republic,Female,Low income,766,0.045,0.027,0.692
Georgia,Male,Upper middle income,6011,1.57,0.715,1.6853
Georgia,Female,Upper middle income,3605,0.942,0.39,1.0109
Indonesia,Male,Upper middle income,168536,34.516,15.501,0.7963
Indonesia,Female,Upper middle income,115182,23.589,10.198,0.5442
Malawi,Male,Low income,1455,0.103,0.054,0.2658
Malawi,Female,Low income,1279,0.09,0.046,0.2337
Jamaica,Male,Upper middle income,2095,0.389,0.17,1.0817
Jamaica,Female,Upper middle income,1678,0.311,0.131,0.8667
Guinea-Bissau,Male,Low income,243,0.022,0.011,0.3409
Guinea-Bissau,Female,Low income,289,0.026,0.014,0.4046
Kiribati,Male,Lower middle income,8,0.001,0,0.1655
Kiribati,Female,Lower middle income,13,0.001,0.001,0.2798
Kazakhstan,Male,Upper middle income,16971,5.494,2.466,0.7016
Kazakhstan,Female,Upper middle income,10707,3.466,1.444,0.4426
Sudan,Male,Low income,12210,0.991,0.469,0.818
Sudan,Female,Low income,8108,0.658,0.309,0.5432
India,Male,Lower middle income,359274,60.212,27.492,0.4056
India,Female,Lower middle income,232511,38.967,17.83,0.2625
Democratic Republic of the Congo,Male,Low income,13013,0.893,0.477,0.4877
Democratic Republic of the Congo,Female,Low income,18880,1.296,0.687,0.7076
Lao People's Democratic Republic,Male,Lower middle income,2755,0.438,0.209,0.615
Lao People's Democratic Republic,Female,Lower middle income,2960,0.471,0.223,0.6608
Mozambique,Male,Low income,651,0.044,0.023,0.0779
Mozambique,Female,Low income,510,0.034,0.017,0.0611
Bangladesh,Male,Lower middle income,53484,8.438,3.784,0.5379
Bangladesh,Female,Lower middle income,32980,5.203,2.405,0.3317
Sierra Leone,Male,Low income,1678,0.161,0.089,0.5638
Sierra Leone,Female,Low income,1098,0.105,0.057,0.36870000000000003
Samoa,Male,Upper middle income,93,0.014,0.006,0.786
Samoa,Female,Upper middle income,53,0.008,0.003,0.4492
North Macedonia,Male,Upper middle income,3765,0.973,0.414,2.1692
North Macedonia,Female,Upper middle income,2558,0.661,0.274,1.474
Mongolia,Male,Upper middle income,3908,0.865,0.403,1.3802
Mongolia,Female,Upper middle income,2453,0.543,0.226,0.866
Pakistan,Male,Lower middle income,42739,5.467,2.522,0.3673
Pakistan,Female,Lower middle income,52084,6.662,3.166,0.4476
Philippines,Male,Lower middle income,43226,7.473,3.399,0.5921
Philippines,Female,Lower middle income,37529,6.488,2.779,0.514
Comoros,Male,Lower middle income,88,0.009,0.004,0.2761
Comoros,Female,Lower middle income,78,0.008,0.003,0.2462
Tonga,Male,Upper middle income,82,0.012,0.005,1.4583
Tonga,Female,Upper middle income,45,0.007,0.003,0.7971
Gabon,Male,Upper middle income,604,0.143,0.069,0.2782
Gabon,Female,Upper middle income,771,0.183,0.09,0.3552
Palestine,Male,Lower middle income,2447,0.311,0.165,1.0131
Palestine,Female,Lower middle income,1476,0.188,0.087,0.6111
Thailand,Male,Upper middle income,87430,22.116,9.54,1.3115
Thailand,Female,Upper middle income,52056,13.168,5.249,0.7809
Tunisia,Male,Lower middle income,13110,2.562,1.122,1.4958
Tunisia,Female,Lower middle income,7254,1.418,0.607,0.8277
Turkmenistan,Male,Upper middle income,2105,0.489,0.226,0.3348
Turkmenistan,Female,Upper middle income,1505,0.35,0.153,0.2394
Iraq,Male,Upper middle income,35233,7.035,3.314,1.0652
Iraq,Female,Upper middle income,22705,4.533,2.044,0.6864
Cameroon,Male,Lower middle income,7269,0.882,0.458,0.5745
Cameroon,Female,Lower middle income,6301,0.764,0.398,0.498
Bhutan,Male,Lower middle income,178,0.037,0.016,0.293
Bhutan,Female,Lower middle income,154,0.032,0.015,0.2543
Niger,Male,Low income,4942,0.353,0.191,0.7196
Niger,Female,Low income,1249,0.089,0.048,0.1819
Viet Nam,Male,Lower middle income,60395,12.215,5.324,0.8096
