IE,VLW_total_allages,VLW_total_agesum,age_vs_total_diff,VLW_both,VLW_male_plus_female,sex_vs_both_diff
0.5,1499.9533253043683,1499.9533253043699,1.5916157281026244e-12,1499.9533253043683,1499.9533253043678,-4.547473508864641e-13
1,771.969704916931,771.9697049169316,5.684341886080801e-13,771.969704916931,771.9697049169315,4.547473508864641e-13
1.5,411.3058748559347,411.30587485593423,-4.547473508864641e-13,411.3058748559347,411.3058748559344,-2.8421709430404007e-13
